family,order
Cyanothecaceae,Gomontiellales
Microcystaceae,Chroococcales
Prochloraceae,Chroococcales
Chroococcaceae,Chroococcales
Gomontiellaceae,Gomontiellales
Cymatolegaceae,Nodosilineales
Leptolyngbyaceae,Leptolyngbyales
Synechococcaceae,Synechococcales
Prochaetodermatidae,NA
Microcoleaceae,Oscillatoriales
Oscillatoriaceae,Oscillatoriales
Coccomyxaceae,Trebouxiophyceae ordo incertae sedis
Pseudanabaenaceae,Pseudanabaenales
Wilmottiaceae,Coleofasciculales
Pelonemataceae,Pelonematales
Aliterellaceae,Chroococcidiopsidales
Coelosphaeriaceae,Synechococcales
Bacillariaceae,Bacillariales
Aphanizomenonaceae,Nostocales
Achnanthidiaceae,Achnanthales
Rivulariaceae,Nostocales
Oocystaceae,Chlorellales
Gomphonemataceae,Cymbellales
Stephanodiscaceae,Thalassiosirales
Synechococcales familia incertae sedis,Synechococcales
Brachysiraceae,Naviculales
Gomphosphaeriaceae,Chroococcales
Sellaphoraceae,Naviculales
Naviculaceae,Naviculales
Diploneidaceae,Naviculales
Skeletonemaceae,Thalassiosirales
Radiococcaceae,Sphaeropleales
Botryococcaceae,Trebouxiales
Cymbellaceae,Cymbellales
Watanabeaceae,Watanabeales
Nephrocytiaceae,Sphaeropleales
Eunotiaceae,Eunotiales
Tovelliaceae,Tovelliales
Catenulaceae,Thalassiophysales
Achnanthaceae,Achnanthales
Thalassiosiraceae,Thalassiosirales
Neidiaceae,Naviculales
Stauroneidaceae,Naviculales
Gymnodiniaceae,Gymnodiniales
Aulacoseiraceae,Aulacoseirales
Elakatotrichaceae,Klebsormidiales
Fragilariaceae,Fragilariales
Amphidiniaceae,Amphidiniales
Cavinulaceae,Naviculales
Phacaceae,Euglenales
Melosiraceae,Melosirales
Chrysosphaeraceae,Chrysosphaerales
Palaeacmaeidae,NA
Mastogloiaceae,Mastogloiales
Pinnulariaceae,Naviculales
Cocconeidaceae,Achnanthales
Surirellaceae,Surirellales
Cyanothrichaceae,Chroococcales
Rhoicospheniaceae,Cymbellales
Chaetocerotaceae,Chaetocerotanae incertae sedis
Pleurosigmataceae,Naviculales
Amphipleuraceae,Naviculales
Bacillariophyceae familia incertae sedis,NA
Acanthocerataceae,Chaetocerotanae incertae sedis
Gyrodiniaceae,Gymnodiniales
Peridiniopsidaceae,Peridiniales
Rhopalodiaceae,Rhopalodiales
Euglenaceae,Euglenales
Thoracosphaeraceae,Thoracosphaerales
Spirulinaceae,Spirulinales
Hemidiscaceae,Coscinodiscales
Nephroselmidaceae,Nephroselmidales
Rhizosoleniaceae,Rhizosoleniales
Nodulariaceae,Nostocales
Entomoneidaceae,Surirellales
Vacuolariaceae,Chattonellales
Coscinodiscaceae,Coscinodiscales
Gloeobacteraceae,Gloeobacterales
Attheyaceae,Chaetocerotanae incertae sedis
Heliopeltaceae,Coscinodiscales
Biddulphiaceae,Biddulphiales
Chytriodiniaceae,NA
Lithodesmiaceae,Lithodesmiales
Eutreptiaceae,Eutreptiales
Hapalosiphonaceae,Nostocales
Leptocylindraceae,Leptocylindrales
