location.code,habitat,location,country,continent,latitude,longitude
loc-605,reservoir,Güroymak Reservoir,Turkey,Asia,38.602811,42.101135
loc-606,reservoir,Kalecik Reservoir,Turkey,Asia,37.147692,36.459268
loc-607,pond,Kapıaçmaz Pond,Turkey,Asia,38.709912,39.882575
loc-608,pond,Dedeyolu Pond,Turkey,Asia,38.470035,39.200723
loc-609,pond,Güzelyurt Sulama Pond,Turkey,Asia,35.194562,33.015588
loc-610,pond,Hasancık Pond,Turkey,Asia,37.774275,38.443973
loc-611,pond,İncesu Pond,Turkey,Asia,40.814473,40.767819
loc-612,lake,Otlukbeli Lake,Turkey,Asia,40.016843,39.978717
loc-613,pond,Siverek Yeleken Pond,Turkey,Asia,37.583014,39.501192
loc-615,reservoir,Demirköprü Reservoir,Turkey,Asia,38.668490,28.387106
loc-616,lake,Marmara Lake,Turkey,Asia,38.621597,28.030330
loc-617,lake,Hafik Lake,Turkey,Asia,39.869331,37.383990
loc-618,lake,Arı Lake,Turkey,Asia,39.354981,36.988221
loc-619,lake,Yeşilgöl Lake,Turkey,Asia,39.425726,40.599724
loc-620,lake,Bardakçılı Mevki Lake,Turkey,Asia,39.561872,40.215301
loc-621,lake,Beyşehir Lake,Turkey,Asia,37.772401,31.521213
loc-622,lake,Tuz Lake,Turkey,Asia,38.762724,33.348613
loc-623,lake,Gök (Kozanlı) Lake,Turkey,Asia,39.013052,32.832500
loc-624,lake,Meke Lake (Meke Maarı),Turkey,Asia,37.684515,33.635050
loc-625,lake,Gavur Lake,Turkey,Asia,39.809945,37.737609
loc-626,lake,Acıgöl Lake 2,Turkey,Asia,37.829876,29.893092
loc-627,lake,Küçük Lake,Turkey,Asia,40.829040,41.391248
loc-628,lake,Boz Lake,Turkey,Asia,38.333331,27.750001
loc-629,reservoir,Güzelhisar Reservoir,Turkey,Asia,38.788343,27.106860
loc-630,reservoir,Sevişler Reservoir,Turkey,Asia,38.788344,27.106861
loc-631,lake,Tepe Lake,Turkey,Asia,39.468856,27.927827
loc-632,lake,Gebekirse Lake,Turkey,Asia,37.986479,27.304351
loc-633,lake,Gala Lake,Turkey,Europe,40.752474,26.167372
loc-634,lake,Pamuklu Lake,Turkey,Europe,40.787704,26.280672
loc-635,lake,Domuz Lake,Turkey,Europe,40.776039,26.235266
loc-636,lake,Taşkısığı Lake,Turkey,Asia,40.868601,30.403340
loc-637,lake,Çubuk Lake,Turkey,Asia,40.480830,30.835557
loc-638,lake,Poyrazlar Lake,Turkey,Asia,40.838333,30.467192
loc-639,lake,Sapanca Lake,Turkey,Asia,40.838334,30.467191
loc-640,lake,Işık Dağı Karagöl Lake,Turkey,Asia,38.557401,27.217278
loc-641,lake,Çavuşcu Lake,Turkey,Asia,38.350553,31.876945
loc-642,lake,Mogan Lake,Turkey,Asia,39.763339,32.794340
loc-643,pond,Üçlerkayası Pond,Turkey,Asia,39.088181,30.417963
loc-644,lake,Çubuk Karagöl Lake,Turkey,Asia,40.412073,32.912390
loc-645,lake,Eymir Lake,Turkey,Asia,39.826202,32.832427
loc-646,lake,Küçük Akgöl Lake,Turkey,Asia,40.878087,30.431873
loc-647,lake,Avdan Lake,Turkey,Asia,37.581401,28.794006
loc-648,lake,Kayuslu Lake,Turkey,Asia,39.992533,35.986125
loc-649,lake,Karamurat Lake,Turkey,Asia,40.565778,30.956417
loc-650,pond,Cüneyt Sönmez Pond,Turkey,Asia,36.890935,30.710383
loc-651,pond,Çılgınlar Pond,Turkey,Asia,40.950068,29.340953
loc-652,pond,Yıldırım Evci Pond,Turkey,Asia,40.448831,32.877595
loc-653,lake,Sülüklü Lake,Turkey,Asia,37.566400,32.048235
loc-654,pond,Çamkoru Pond,Turkey,Asia,40.585154,32.512504
loc-655,lake,Anagöl Lake,Turkey,Asia,37.514163,33.717222
loc-656,pond,Tufanbeyli Demiroluk Pond,Turkey,Asia,38.225478,36.064317
loc-657,pond,Pekmezli-Çatalçam Pond,Turkey,Asia,40.252254,27.127947
loc-658,pond,Topacık Pond,Turkey,Asia,37.469450,31.795400
loc-659,pond,Hüsniye Pond,Turkey,Asia,37.646516,34.589144
loc-660,lake,Manyas Lake,Turkey,Asia,40.202934,27.948339
loc-661,lake,Uluabat Lake,Turkey,Asia,40.148880,28.614815
loc-663,reservoir,Nilüfer Reservoir,Turkey,Asia,40.011919,29.116512
loc-664,lake,Erçek Lake,Turkey,Asia,38.669553,43.588451
loc-665,lake,Van Lake,Turkey,Asia,38.613986,42.918156
loc-666,lake,Lake Annecy,France,Europe,45.898132390000001,6.1406700000000001
loc-667,lake,Lake Bourget,France,Europe,45.727080999999998,5.85764
loc-668,lake,Lake Geneva,France,Europe,46.433244000000002,6.5305780000000002
loc-669,lake,Morcille River,France,Europe,46.126801,4.7013769999999999
loc-670,lake,Lake Geneva,France,Europe,46.433244000000002,6.5305780000000002
loc-671,lake,Lake Montriond,France,Europe,46.208846999999999,6.7287179999999998
loc-672,lake,Lake Brévent,France,Europe,45.928961999999999,6.8275170000000003
loc-673,lake,Lake d'Anterne,France,Europe,45.991166,6.7982120000000004
loc-674,lake,Bultière Reservoir,France,Europe,46.917968999999999,-1.201584
loc-675,lake,Lake Cornu,France,Europe,45.957709999999999,6.8482849999999997
loc-676,lake,Plan Vianney Lake,France,Europe,44.957743000000001,6.0440189999999996
loc-677,lake,Mount Damavand,Iran,Asia,35.951000000000001,52.109
loc-678,lake,Babeni,Romania,Europe,44.975000000000001,24.231111
loc-680,lake,Kachemak Bay,USA,North America,59.609166999999999,-151.3475
loc-681,lake,Ore mountains,NA,Europe,NA,NA
loc-682,lake,Lake Aiguebelette,France,Europe,45.552778000000004,5.797222
loc-683,lake,Allequash Lake,USA,North America,46.038316999999999,-89.620616999999996
loc-684,lake,Big Muskellunge Lake,USA,North America,46.021067000000002,-89.611783000000003
loc-685,lake,Crystal Bog,USA,North America,46.007582999999997,-89.606183000000001
loc-688,lake,Lake Monona,USA,North America,43.063369999999999,-89.360860000000002
loc-689,lake,Sparkling Lake,USA,North America,46.007733000000002,-89.701183
loc-690,lake,Trout Bog,USA,North America,46.041249999999998,-89.686283000000003
loc-691,lake,Trout Lake,USA,North America,46.029266999999997,-89.665017000000006
loc-692,lake,Lake Wingra,USA,North America,43.052579999999999,-89.424989999999994
loc-695,lake,Norway,Norway,Europe,59.911490999999998,10.757933
loc-696,lake,Sacramento,USA,North America,38.575763999999999,-121.47885100000001
loc-697,lake,Onondaga Lake,USA,North America,43.090297999999997,-76.210250000000002
loc-701,freshwater,Southern Africa,NA,Africa,-24.175146999999999,19.227253000000001
loc-702,lake,canada,canada,North America,NA,NA
loc-708,lake,Lake Biel,Switzerland,Europe,47.081102999999999,7.1696309999999999
loc-711,freshwater,denmark,denmark,Europe,NA,NA
loc-719,freshwater,Marley's Hill,New Zealand,Australasia,-43.612221,172.633273
loc-723,freshwater,South Africa,South Africa,Africa,NA,NA
loc-724,freshwater,Camargue,France,Europe,43.593912,4.468988
loc-728,pond,Madurai,India,Asia,9.9333329999999993,78.133332999999993
loc-729,lake,Island lake,USA,North America,47.01981,-92.145172000000002
loc-730,lake,Pike Lake,USA,North America,46.866455000000002,-92.300404999999998
loc-732,lake,Tjeukemeer,Netherlands,Europe,52.888390999999999,5.7994310000000002
loc-741,reservoir,Queen Elizabeth II,UK,Europe,51.390930,-0.395765
loc-742,reservoir,King George VI,UK,Europe,51.448255,-0.502883
loc-743,lake,lake Erken,Sweeden,Europe,59.845795,18.564878
loc-746,lake,Resolute lake,Canada,North America,74.686811,-94.939315
loc-749,freshwater,Warsaw,Poland,Europe,52.229676,21.012232
loc-751,pond,Jefferson County,USA,North America,36.041785,-83.464358
loc-763,lake,Silver lake,USA,North America,44.903287,-94.19553
loc-768,lake,Mekkojärvi,Finland,Europe,63.254792,25.040180
loc-770,freshwater,European Russia,Russia,Europe,NA,NA
loc-771,lake,France,France,Europe,NA,NA
loc-772,freshwater,Europe,NA,Europe,NA,NA
loc-775,freshwater,European Russia,NA,NA,NA,NA
loc-776,freshwater,Estonia,Estonia,Europe,NA,NA
loc-777,river,Tiete River,Brazil,South America,-23.489567,-46.525000
loc-778,lake,Parque Ecológico do Tietê,Brazil,South America,-23.484250,-46.515650
loc-779,river,Tigris River,Turkey,Asia,NA,NA
loc-780,bog,Le Cachot bog,Switzerland,Europe,47.001803,6.671025
loc-781,river,Afon Cynon,UK,Europe,51.700903,-3.419929
loc-783,freshwater,Sahelo-Sudan,NA,Africa,NA,NA
loc-785,freshwater,Van Kalesi,Turkey,Asia,38.502664,43.339883
loc-786,pond,Gazinet-Cestas,France,Europe,44.775026,-0.695638
loc-787,freshwater,North America,USA,North America,NA,NA
loc-788,lab,Canadian Phycological Culture Centre,canada,North America,43.471454,-80.543148
loc-789,freshwater,China,China,Asia,NA,NA
loc-790,freshwater,New Zealand,New Zealand,Australasia,NA,NA
loc-791,freshwater,Loughgall,UK,Europe,54.409358,-6.602901
loc-792,lake,Lake Balaton,Hungary,Europe,46.830265,17.734036
loc-793,lake,Washington,USA,North America,47.751074,-120.740137
