Source
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Liang et al. 1996 (Mar. Bio. 124:527-536)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
Laing and Uye 1996 (Mar. Biol. 125:109-117)
