original.taxa.name,cleaned.taxa.name.gna,cleaned.source.gna,manual
Schroederia cf antillarum,Schroederia,Catalogue of Life,bumped
Schroedriella setigera,NA,NA,na
Schroedriella sp,NA,NA,na
Siderocelys (aff),NA,NA,na
Small centrics,NA,NA,na
Sphaerelopsis sp,NA,NA,na
Sphaerocavum/mpanniformis (isolada),NA,NA,na
Sphaerocystis cf schroeteri x org,NA,NA,na
Spineferomonas sp,NA,NA,na
Spirulina affadriatica,Spirulina,Catalogue of Life,bumped
Spirulina laxisima/nodosa/eubacteria,Spirulina,Catalogue of Life,bumped
Staurastrum polimorphus/paradoxum,Staurastrum,Catalogue of Life,bumped
Staurastrum quadricauda (turp) breb,Staurastrum,Catalogue of Life,bumped
Surirella cfrobusta/caproni,Surirella,EOL,bumped
Synechococcus aquatilis,Synechococcus,Catalogue of Life,bumped
Synedra (aff),Synedra,EOL,bumped
Tetraedron minimun (a br) hansg,Tetraedron,Catalogue of Life,bumped
Tetraselmis (aff),Tetraselmis,Catalogue of Life,bumped
Tetrastrum cf komarekii,Tetrastrum,Catalogue of Life,bumped
Trachelomonas 10,Trachelomonas,Catalogue of Life,bumped
Trachelomonas rugulosa stein,Trachelomonas,Catalogue of Life,bumped
Trybionela sp,NA,NA,na
Trybionella vitoriae,NA,NA,na
Volvocales 1,Volvocales,Catalogue of Life,bumped
Volvocales 6 (fla unicell),Volvocales,Catalogue of Life,bumped
