resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Aphanocapsa delicatissima,NA,NA,Aphanocapsa delicatissima,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016690,tol
Merismopedia minima,NA,NA,Merismopedia minima,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,4016807,tol
Synechocystis parvula,NA,NA,Synechocystis parvula,Prochloron,NA,NA,NA,Cyanobacteria,NA,species,4016590,tol
Aphanocapsa incerta,NA,NA,Aphanocapsa incerta,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016649,tol
Chroococcus microscopicus,NA,NA,Chroococcus microscopicus,Chroococcus,NA,NA,NA,Cyanobacteria,NA,species,4016489,tol
Komvophoron,NA,NA,NA,Komvophoron,NA,NA,NA,Cyanobacteria,NA,genus,460980,tol
Merismopedia tenuissima,NA,NA,Merismopedia tenuissima,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,285034,tol
Pannus spumosus,NA,NA,Pannus spumosus,Pannus,NA,NA,NA,Cyanobacteria,NA,species,4016960,tol
Cyanodictyon planctonicum,NA,NA,Cyanodictyon planctonicum,Cyanodictyon,NA,NA,NA,Cyanobacteria,NA,species,4017123,tol
Lemmermanniella parva,NA,NA,Lemmermanniella parva,Lemmermanniella,NA,NA,NA,Cyanobacteria,NA,species,4017377,tol
Lemmermanniella,NA,NA,NA,Lemmermanniella,NA,NA,NA,Cyanobacteria,NA,genus,4017076,tol
Leptolyngbya,NA,NA,NA,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,genus,757914,tol
Aphanothece saxicola,NA,NA,Aphanothece saxicola,NA,NA,NA,NA,Cyanobacteria,NA,species,4016627,tol
Synechococcus,NA,NA,NA,Synechococcus,NA,NA,NA,Cyanobacteria,NA,genus,269054,tol
Aphanothece,NA,NA,NA,Aphanothece,NA,NA,NA,Cyanobacteria,NA,genus,269057,tol
Aphanothece clathrata,NA,NA,Anathece clathrata,Anathece,NA,NA,NA,Cyanobacteria,NA,species,4016597,tol
Aphanothece clathrata rosea,NA,NA,Anathece clathrata,Anathece,NA,NA,NA,Cyanobacteria,NA,species,4016597,tol
Aphanocapsa holsatica,NA,NA,Microcystis holsatica,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,180119,tol
Chlorococcales,NA,NA,NA,NA,NA,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,order,347099,tol
Kirchneriella microscopica,NA,NA,Raphidocelis microscopica,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4735061,tol
Aphanocapsa nubilum,NA,NA,Aphanocapsa nubilum,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016645,tol
Rhabdoderma tenuissimum,NA,NA,Rhabdoderma tenuissimum,Rhabdoderma,NA,NA,NA,Cyanobacteria,NA,species,4016863,tol
Aphanocapsa conferta,NA,NA,Aphanocapsa conferta,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016644,tol
Monoraphidium nanum,NA,NA,Monoraphidium nanum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152715,tol
Snowella arachnoidea,NA,NA,Snowella arachnoidea,Snowella,NA,NA,NA,Cyanobacteria,NA,species,4016435,tol
Kirchneriella mayori,NA,NA,Raphidocelis mayorii,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4003665,tol
Aphanothece nidulans,NA,NA,Aphanothece nidulans,NA,NA,NA,NA,Cyanobacteria,NA,species,986408,tol
Synechococcus nidulans,NA,NA,Synechococcus nidulans,Synechococcus,NA,NA,NA,Cyanobacteria,NA,species,380624,tol
Aphanocapsa parasitica,NA,NA,Microcystis parasitica,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,4016652,tol
Leptolyngbya lagerheimii,NA,NA,Lyngbya lagerheimii,Lyngbya,NA,NA,NA,Cyanobacteria,NA,species,878826,tol
Romeria gracilis,NA,NA,Romeria gracilis,Phormidium,NA,NA,NA,Cyanobacteria,NA,species,4016368,tol
Aphanocapsa,NA,NA,NA,Cyanothece,NA,NA,NA,Cyanobacteria,NA,genus,225532,tol
Aphanocapsa elachista,NA,NA,Aphanocapsa elachista,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,7563499,tol
Aphanocapsa elachista conferta,NA,NA,Aphanocapsa conferta,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016644,tol
Chroococcus minimus,NA,NA,Chroococcus minimus,Chroococcus,NA,NA,NA,Cyanobacteria,NA,species,4016508,tol
Merismopedia,NA,NA,NA,Merismopedia,NA,NA,NA,Cyanobacteria,NA,genus,648488,tol
Snowella septentrionalis,NA,NA,Snowella septentrionalis,Snowella,NA,NA,NA,Cyanobacteria,NA,species,4016436,tol
Snowella,NA,NA,NA,Snowella,NA,NA,NA,Cyanobacteria,NA,genus,707599,tol
Synechocystis,NA,NA,NA,Prochloron,NA,NA,NA,Cyanobacteria,NA,genus,319255,tol
Chlorella vulgaris,NA,NA,Chlorella vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,804978,tol
Chlorophyceae,NA,NA,NA,NA,NA,NA,Chlorophyceae,Chlorophyta,Archaeplastida,class,275989,tol
Nephrochlamys allanthoidea,NA,NA,Nephrochlamys allanthoidea,Nephrochlamys,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152742,tol
Romeria chlorina,NA,NA,Poria chlorina,Perenniporia,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,species,4099375,tol
Monoraphidium tortile,NA,NA,Monoraphidium tortile,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152723,tol
Dictyosphaerium subsolitarium,NA,NA,Dictyosphaerium subsolitarium,Dictyosphaerium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151764,tol
Gomphosphaeria lacustris,NA,NA,Snowella lacustris,Snowella,NA,NA,NA,Cyanobacteria,NA,species,5993523,tol
Chloraphyta,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Archaeplastida,phylum,979501,tol
Choricystis minor,NA,NA,Choricystis parasitica,Choricystis,Coccomyxaceae,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,9991,tol
Leptolyngbya valderiana,NA,NA,Leptolyngbya valderiana,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,species,381279,tol
Oscillatoria limnetica,NA,NA,Pseudanabaena limnetica,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,689843,tol
Rhabdoderma lineare,NA,NA,Rhabdoderma lineare,Rhabdoderma,NA,NA,NA,Cyanobacteria,NA,species,4016866,tol
Planktolyngbya limnetica,NA,NA,Planktolyngbya limnetica,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,species,486204,tol
Pseudanabaena tenuis,NA,NA,Pseudanabaena tenuis,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,4015897,tol
Pseudanabaena catenata,NA,NA,Pseudanabaena catenata,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,954628,tol
Aphanocapsa planctonica,NA,NA,Aphanocapsa planctonica,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016654,tol
Coelosphaerium kuetzingianum,NA,NA,Coelosphaerium kuetzingianum,Coelosphaerium,NA,NA,NA,Cyanobacteria,NA,species,4017094,tol
Microcystis ichthyoblabe,NA,NA,Microcystis ichthyoblabe,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,554577,tol
Microcystis,NA,NA,NA,Microcystis,NA,NA,NA,Cyanobacteria,NA,genus,269068,tol
Radiocystis aphanothecoidea,NA,NA,Radiocystis aphanothecoidea,Radiocystis,NA,NA,NA,Cyanobacteria,NA,species,4016566,tol
Pseudopedinella,NA,NA,NA,Pseudopedinella,NA,Pedinellales,Dictyochophyceae,NA,NA,genus,432900,tol
Ankistrodesmus nannoselene,NA,NA,Ankistrodesmus nannoselene,Ankistrodesmus,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,501635,tol
Planktolyngbya,NA,NA,NA,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,genus,486200,tol
Myxococcoides chlorelloidea,NA,NA,NA,NA,NA,NA,NA,Cyanobacteria,NA,no rank,4017021,tol
Pseudanabaena articulata,NA,NA,Pseudanabaena articulata,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,4015901,tol
Pseudanabaena mucicola,NA,NA,Pseudanabaena mucicola,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,958228,tol
Pseudanabaena,NA,NA,NA,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,genus,843531,tol
Schroederia antillarum,NA,NA,Pseudoschroederia antillarum,Pseudoschroederia,Schroederiaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,132563,tol
Aphanothece elabens,NA,NA,Microcystis elabens,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,180120,tol
Geitlerinema acutissimum,NA,NA,Anagnostidinema acutissimum,Anagnostidinema,NA,NA,NA,Cyanobacteria,NA,species,4015752,tol
Limnothrix redeckei,NA,NA,Limnothrix redekei,Limnothrix,NA,NA,NA,Cyanobacteria,NA,species,704052,tol
Selenastrum capricornutum,NA,NA,Selenastrum capricornutum,Selenastrum,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,760164,tol
Pseudanabaena galeata,NA,NA,Pseudanabaena galeata,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,716002,tol
Nephrochlamys danica,NA,NA,Nephrochlamys danica,Nephrochlamys,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5416642,tol
Pseudanabaena arcuata,NA,NA,Pseudanabaena arcuata,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,4016044,tol
Gloeotila spiralis,NA,NA,Planktolyngbya contorta,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,species,4016083,tol
Komvophoron minutum,NA,NA,Komvophoron minutum,Komvophoron,NA,NA,NA,Cyanobacteria,NA,species,5373727,tol
Monoraphidium circinale,NA,NA,Monoraphidium circinale,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,954836,tol
Achroonema articulatum,NA,NA,Achroonema articulatum,Achroonema,NA,NA,NA,Cyanobacteria,NA,species,5376228,tol
Gomphosphaeria rosea,NA,NA,Snowella rosea,Snowella,NA,NA,NA,Cyanobacteria,NA,species,836170,tol
Merismopedia hyalina,NA,NA,Lampropedia hyalina,Lampropedia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,NA,species,172754,tol
Merismopedia punctata,NA,NA,Merismopedia punctata,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,447090,tol
Chroococcus varius,NA,NA,Chroococcus varius,Chroococcus,NA,NA,NA,Cyanobacteria,NA,species,4016556,tol
Gloeocapsopsis,NA,NA,NA,Chroogloeocystis,NA,NA,NA,Cyanobacteria,NA,genus,534632,tol
Coelastrum reticulatum,NA,NA,Hariotina reticulata,Hariotina,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,664548,tol
Didymocystis fina,NA,NA,Didymocystis fina,Didymocystis,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152943,tol
Radiocystis geminata,NA,NA,Radiocystis geminata,Radiocystis,NA,NA,NA,Cyanobacteria,NA,species,4016569,tol
Aphanocapsa muscicola,NA,NA,Aphanocapsa muscicola,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,443989,tol
Monoraphidium skujae,NA,NA,Monoraphidium skujae,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152724,tol
Komvophoron skujae,NA,NA,Komvophoron skujae,Komvophoron,NA,NA,NA,Cyanobacteria,NA,species,5376681,tol
Woronichinia ruzickae,NA,NA,Woronichinia ruzickae,Woronichinia,NA,NA,NA,Cyanobacteria,NA,species,4016440,tol
Snowella lacustris,NA,NA,Snowella lacustris,Snowella,NA,NA,NA,Cyanobacteria,NA,species,5993523,tol
Snowella rosea,NA,NA,Snowella rosea,Snowella,NA,NA,NA,Cyanobacteria,NA,species,836170,tol
Pseudanabaena minuta,NA,NA,Komvophoron minutum,Komvophoron,NA,NA,NA,Cyanobacteria,NA,species,5373727,tol
Nitzschia lacuum,NA,NA,Nitzschia lacuum,Nitzschia,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,2813575,tol
Woronichinia fusca,NA,NA,Woronichinia fusca,Woronichinia,NA,NA,NA,Cyanobacteria,NA,species,4016443,tol
Pseudanabaena limnetica,NA,NA,Pseudanabaena limnetica,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,689843,tol
Woronichinia,NA,NA,NA,Woronichinia,NA,NA,NA,Cyanobacteria,NA,genus,973050,tol
Oscillatoria janus,NA,NA,Oscillatoria janus,Oscillatoria,NA,NA,NA,Cyanobacteria,NA,species,5374980,tol
Ulothrix,NA,NA,NA,Ulothrix,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta,Archaeplastida,genus,1098238,tol
Dolichospermum lemmermannii,NA,NA,Dolichospermum lemmermannii,Anabaena,NA,NA,NA,Cyanobacteria,NA,species,1088734,tol
Dolichospermum flosaquae,NA,NA,Dolichospermum flosaquae,NA,NA,NA,NA,Cyanobacteria,NA,species,5617062,tol
Cyanobium,NA,NA,NA,Cyanobium,NA,NA,NA,Cyanobacteria,NA,genus,180553,tol
Merismopedia duplex,NA,NA,Merismopedia duplex,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,4016806,tol
Kirchneriella subcapitata,NA,NA,Raphidocelis subcapitata,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,832044,tol
Kephyrion,NA,NA,NA,Kephyrion,NA,Chromulinales,Chrysophyceae,NA,NA,genus,139310,tol
Siderocelis oblonga,NA,NA,Siderocelis oblonga,Siderocelis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,6001516,tol
Achnanthes conspicua,NA,NA,Planothidium conspicuum,Planothidium,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,7556466,tol
Limnothrix planctonica,NA,NA,Limnothrix planctonica,Limnothrix,NA,NA,NA,Cyanobacteria,NA,species,4016420,tol
Limnothrix,NA,NA,NA,Limnothrix,NA,NA,NA,Cyanobacteria,NA,genus,704067,tol
Limnothrix obliqueacuminata,NA,NA,Limnothrix obliqueacuminata,Limnothrix,NA,NA,NA,Cyanobacteria,NA,species,5374865,tol
Nephrochlamys subsolitaria,NA,NA,Nephrochlamys subsolitaria,Nephrochlamys,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,477160,tol
Geitlerinema amphibium,NA,NA,Anagnostidinema amphibium,Anagnostidinema,NA,NA,NA,Cyanobacteria,NA,species,707845,tol
Synechococcus ambiguus,NA,NA,Synechococcus ambiguus,Synechococcus,NA,NA,NA,Cyanobacteria,NA,species,4016711,tol
Woronichinia naegeliana,NA,NA,Woronichinia naegeliana,Woronichinia,NA,NA,NA,Cyanobacteria,NA,species,347643,tol
Scenedesmus pecsensis,NA,NA,Scenedesmus pecsensis,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152854,tol
Tetrachlorella incerta,NA,NA,Tetrachlorella incerta,Tetrachlorella,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5414356,tol
Pseudanabaena acicularis,NA,NA,Pseudanabaena acicularis,Pseudanabaena,NA,NA,NA,Cyanobacteria,NA,species,7014969,tol
Gomphosphaeria compacta,NA,NA,Woronichinia compacta,Woronichinia,NA,NA,NA,Cyanobacteria,NA,species,4016438,tol
Phormidium amoenum,NA,NA,Phormidium amoenum,Phormidium,NA,NA,NA,Cyanobacteria,NA,species,1022452,tol
Ankistrodesmus gracilis,NA,NA,Messastrum gracile,Messastrum,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,71198,tol
Oocystis rhomboidea,NA,NA,Oocystis rhomboidea,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151881,tol
Calothrix,NA,NA,NA,Calothrix,NA,NA,NA,Cyanobacteria,NA,genus,12832,tol
Aphanizomenon flos-aquae gracile,NA,NA,Aphanizomenon flos-aquae,Aphanizomenon,NA,NA,NA,Cyanobacteria,NA,species,893789,tol
Coccomyxa litoralis,NA,NA,Coccomyxa litoralis,Coccomyxa,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151789,tol
Pseudococcomyxa,NA,NA,NA,Pseudococcomyxa,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,genus,683464,tol
Oocystis parva,NA,NA,Oocystis parva,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151845,tol
Didymocystis planctonica,NA,NA,Pseudodidymocystis planctonica,Pseudodidymocystis,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,285721,tol
Sphaerospermopsis aphanizomenoides,NA,NA,Sphaerospermopsis aphanizomenoides,NA,NA,NA,NA,Cyanobacteria,NA,species,318217,tol
Anabaena,NA,NA,NA,Anabaena,NA,NA,NA,Cyanobacteria,NA,genus,368779,tol
Mantellum,NA,NA,NA,Mantellum,NA,NA,NA,Cyanobacteria,NA,genus,4016934,tol
Microcystis flos-aquae,NA,NA,Microcystis flos-aquae,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,60759,tol
Eutetramorus nygaardii,NA,NA,Eutetramorus nygaardii,Eutetramorus,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,7566806,tol
Eutetramorus,NA,NA,NA,Eutetramorus,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,5153261,tol
Volvox globator,NA,NA,Volvox globator,Volvox,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,633719,tol
Cylindrospermum,NA,NA,NA,Cylindrospermum,NA,NA,NA,Cyanobacteria,NA,genus,582198,tol
Erkenia subaequiciliata,NA,NA,Erkenia subaequiciliata,Erkenia,NA,Ochromonadales,Chrysophyceae,NA,NA,species,4921772,tol
Amphikrikos minutissimus,NA,NA,Amphikrikos minutissimus,Amphikrikos,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151829,tol
Choricystis chodatii,NA,NA,Coccomyxa simplex,Coccomyxa,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,72885,tol
Monoraphidium subclavatum,NA,NA,Monoraphidium subclavatum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,6001170,tol
Didymocystis,NA,NA,NA,Didymocystis,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,911286,tol
Kirchneriella contorta,NA,NA,Raphidocelis contorta,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4735052,tol
Scenedesmus pulloideus,NA,NA,NA,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,651333,tol
Pediastrum boryanum,NA,NA,Pseudopediastrum boryanum,Pseudopediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,410210,tol
Pediastrum boryanum longicorne,NA,NA,Pseudopediastrum boryanum,Pseudopediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,varietas,452620,tol
Aulomonas purdyi,NA,NA,Aulomonas purdyi,Aulomonas,NA,Choanoflagellida,NA,NA,NA,species,5157794,tol
Pseudokephyrion striatum,NA,NA,Pseudokephyrion attenatum,Pseudokephyrion,NA,Chromulinales,Chrysophyceae,NA,NA,species,6391362,tol
Limnothrix guttulata,NA,NA,Limnothrix guttulata,Limnothrix,NA,NA,NA,Cyanobacteria,NA,species,4015867,tol
Uroglena soniaca,NA,NA,Uroglenopsis soniaca,Uroglena,NA,Chromulinales,Chrysophyceae,NA,NA,species,4922430,tol
Scenedesmus intermedius acaudatus,NA,NA,Desmodesmus intermedius,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,157845,tol
Oocystis bispora,NA,NA,Oocystis bispora,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5414414,tol
Monoraphidium convolutum,NA,NA,Monoraphidium convolutum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,734390,tol
Aphanocapsa grevillei,NA,NA,Aphanocapsa grevillei,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016646,tol
Chroococcus obliteratus,NA,NA,Chroococcus obliteratus,Chroococcus,NA,NA,NA,Cyanobacteria,NA,species,4016527,tol
Gloeocapsa granosa,NA,NA,Gloeocapsa granosa,Gloeocapsa,NA,NA,NA,Cyanobacteria,NA,species,4017010,tol
Merismopedia glauca,NA,NA,Merismopedia glauca,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,351131,tol
Planctonema lauterbornii,NA,NA,Planctonema lauterbornii,Planctonema,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,305591,tol
Ulothrix limnetica,NA,NA,Ulothrix limnetica,Ulothrix,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta,Archaeplastida,species,5415466,tol
Scenedesmus lunatus,NA,NA,Desmodesmus lunatus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,73328,tol
Pseudotetraedriella kamillae,NA,NA,Pseudotetraedriella kamillae,Pseudotetraedriella,Loboceae,Eustigmatales,NA,NA,NA,species,423006,tol
Pseudokephyrion,NA,NA,NA,Pseudokephyrion,NA,Chromulinales,Chrysophyceae,NA,NA,genus,4922371,tol
Amphikrikos,NA,NA,NA,Amphikrikos,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,genus,451055,tol
Siderocelis,NA,NA,NA,Siderocelis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,genus,4734289,tol
Actinastrum aciculare,NA,NA,Actinastrum aciculare,Actinastrum,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,4004510,tol
Scenedesmus dispar,NA,NA,Desmodesmus dispar,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152796,tol
Scenedesmus,NA,NA,NA,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,651333,tol
Gomphonema intricatum pumila,NA,NA,Gomphonema intricatum,Gomphonema,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,2815092,tol
Tetrastrum triangulare,NA,NA,Lemmermannia triangularis,Lemmermannia,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5153002,tol
Monoraphidium contortum,NA,NA,Monoraphidium contortum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,983804,tol
Crucigenia fenestrata,NA,NA,Crucigenia fenestrata,Lemmermannia,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5153028,tol
Lyngbya,NA,NA,NA,Lyngbya,NA,NA,NA,Cyanobacteria,NA,genus,878838,tol
Selenochloris quadriloba,NA,NA,Selenochloris quadriloba,Selenochloris,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,6000892,tol
Kephyrion spirale,NA,NA,Kephyrion spirale,Kephyrion,NA,Chromulinales,Chrysophyceae,NA,NA,species,7561408,tol
Crucigeniella rectangularis,NA,NA,Willea rectangularis,Willea,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,161661,tol
Planktothrix,NA,NA,NA,Planktothrix,NA,NA,NA,Cyanobacteria,NA,genus,290809,tol
Ankyra inermis,NA,NA,Ankyra inermis,Ankyra,Sphaeropleaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5153111,tol
Stichococcus bacillaris,NA,NA,Stichococcus bacillaris,Stichococcus,NA,Microthamniales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,600715,tol
Pyramimonas micron,NA,NA,Pyramimonas micron,Pyramimonas,NA,Pyramimonadales,NA,Chlorophyta,Archaeplastida,species,4004367,tol
Didymocystis bicellularis,NA,NA,Desmodesmus bicellularis,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,643485,tol
Stephanodiscus minutulus,NA,NA,Stephanodiscus minutulus,Stephanodiscus,NA,NA,Mediophyceae,Bacillariophyta,NA,species,886901,tol
Stephanodiscus parvus,NA,NA,Stephanodiscus parvus,Stephanodiscus,NA,NA,Mediophyceae,Bacillariophyta,NA,species,636699,tol
Tetrastrum elegans,NA,NA,Tetrastrum elegans,Tetrastrum,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5153010,tol
Jaaginema geminatum,NA,NA,Jaaginema geminatum,NA,NA,NA,NA,Cyanobacteria,NA,species,4015781,tol
Desmarella brachycalyx,NA,NA,Desmarella brachycalyx,Desmarella,Codonosigidae,Choanoflagellida,NA,NA,NA,species,6137611,tol
Heterothrix,NA,NA,NA,Heterothrix,NA,Tribonematales,Xanthophyceae,NA,NA,genus,775188,tol
Aphanizomenon issatschenkoi,NA,NA,Cuspidothrix issatschenkoi,Aphanizomenon,NA,NA,NA,Cyanobacteria,NA,species,612540,tol
Tribonema microchloron cylindricum,NA,NA,Tribonema microchloron,Tribonema,NA,Tribonematales,Xanthophyceae,NA,NA,species,723259,tol
Chrysophyceae,NA,NA,NA,NA,NA,NA,Chrysophyceae,NA,NA,class,8031327,tol
Anabaena flos-aquae,NA,NA,Dolichospermum flos-aquae,NA,NA,NA,NA,Cyanobacteria,NA,species,368766,tol
Anabaena oscillarioides elliptica,NA,NA,Anabaena oscillarioides,Anabaena,NA,NA,NA,Cyanobacteria,NA,species,893793,tol
Anabaena oscillarioides,NA,NA,Anabaena oscillarioides,Anabaena,NA,NA,NA,Cyanobacteria,NA,species,893793,tol
Aphanizomenon flos-aquae,NA,NA,Aphanizomenon flos-aquae,Aphanizomenon,NA,NA,NA,Cyanobacteria,NA,species,893789,tol
Komvophoron constrictum,NA,NA,Johansenia constricta,Johansenia,NA,NA,NA,Cyanobacteria,NA,species,5376667,tol
Microcystis aeruginosa,NA,NA,Microcystis aeruginosa,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,269069,tol
Microcystis wesenbergii,NA,NA,Microcystis wesenbergii,Microcystis,NA,NA,NA,Cyanobacteria,NA,species,180115,tol
Ochromonas,NA,NA,NA,Ochromonas,NA,Ochromonadales,Chrysophyceae,NA,NA,genus,898589,tol
Salpingoeca globulosa,NA,NA,Lagenoeca globulosa,Lagenoeca,NA,Choanoflagellida,NA,NA,NA,species,5394958,tol
