resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Sciadorus obtusus,NA,NA,Sciadorus obtusus,Sciadorus,Hydropsychidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3025632,tol
Catoxyethira pinheyi,NA,NA,Catoxyethira pinheyi,Catoxyethira,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3021746,tol
Catoxyethira veruta,NA,NA,Catoxyethira veruta,Catoxyethira,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3022077,tol
Catoxyethira,NA,NA,NA,Catoxyethira,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,3021498,tol
Hydroptila cruciata,NA,NA,Hydroptila cruciata,Hydroptila,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3021169,tol
Orthotrichia barnardi,NA,NA,Orthotrichia barnardi,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020575,tol
Orthotrichia flagellum,NA,NA,Orthotrichia flagellum,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020704,tol
Orthotrichia petiti,NA,NA,Orthotrichia petiti,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020671,tol
Orthotrichia spinicauda,NA,NA,Orthotrichia spinicauda,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020673,tol
Orthotrichia trilineata,NA,NA,Orthotrichia trilineata,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020608,tol
Orthotrichia,NA,NA,NA,Orthotrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,856193,tol
Oxyethira velocipes,NA,NA,Oxyethira velocipes,Oxyethira,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3020890,tol
Oxyethira,NA,NA,NA,Oxyethira,Hydrophilidae,Coleoptera,Insecta,Arthropoda,Metazoa,genus,7176241,tol
Stactobia kaputensis,NA,NA,Stactobia kaputensis,Stactobia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3021556,tol
Stactobia,NA,NA,NA,Stactobia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,3021501,tol
Ugandatrichia rhodesiensis,NA,NA,Ugandatrichia rhodesiensis,Ugandatrichia,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3022057,tol
Hydroptilidae,NA,NA,NA,NA,Hydroptilidae,Trichoptera,Insecta,Arthropoda,Metazoa,family,647454,tol
Dyschimus collyrifer,NA,NA,Dyschimus collyrifer,Silvatares,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3028834,tol
Dyschimus ensifer,NA,NA,Silvatares ensifer,Silvatares,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,222295,tol
Dyschimus ornithocephalus,NA,NA,Dyschimus ornithocephalus,Silvatares,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3028841,tol
Dyschimus thrymmifer,NA,NA,Dyschimus thrymmifer,Silvatares,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3028840,tol
Dyschimus,NA,NA,NA,Silvatares,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,222294,tol
Pisulia austrina,NA,NA,Pisulia austrina,Pisulia,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3028845,tol
Pisulia pinheyi,NA,NA,Pisulia pinheyi,Pisulia,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3028848,tol
Pisulia,NA,NA,NA,Pisulia,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,3028842,tol
Pisuliidae,NA,NA,NA,NA,Pisuliidae,Trichoptera,Insecta,Arthropoda,Metazoa,family,222293,tol
Pseudoneureclipsis truncata,NA,NA,Pseudoneureclipsis truncata,Pseudoneureclipsis,Polycentropodidae,Trichoptera,Insecta,Arthropoda,Metazoa,species,3023333,tol
Pseudoneureclipsis,NA,NA,NA,Pseudoneureclipsis,Polycentropodidae,Trichoptera,Insecta,Arthropoda,Metazoa,genus,737178,tol
Stenopsychidae,NA,NA,NA,NA,Stenopsychidae,Trichoptera,Insecta,Arthropoda,Metazoa,family,213422,tol
Trichoptera,NA,NA,NA,Trichoptera,Trichoceridae,Diptera,Insecta,Arthropoda,Metazoa,genus,6268566,tol
Etheria elliptica,NA,NA,Etheria elliptica,Etheria,Etheriidae,Unionida,Bivalvia,Mollusca,Metazoa,species,522683,tol
Aspatharia pfeifferiana,NA,NA,Aspatharia pfeifferiana,Aspatharia,Iridinidae,Unionida,Bivalvia,Mollusca,Metazoa,species,460427,tol
Chambardia wahlbergi,NA,NA,Chambardia wahlbergi,Chambardia,Iridinidae,Unionida,Bivalvia,Mollusca,Metazoa,species,986882,tol
Coelatura kunenensis,NA,NA,Coelatura kunenensis,Caelatura,Barleeiidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,4967404,tol
Coelatura mossambicensis,NA,NA,Coelatura mossambicensis,Caelatura,Barleeiidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,4967398,tol
Unio caffer,NA,NA,Cafferia caffer,Cafferia,Unionidae,Unionida,Bivalvia,Mollusca,Metazoa,species,2851494,tol
Auriculastra radiolata,NA,NA,Auriculastra radiolata,Auriculastra,Ellobiidae,NA,Gastropoda,Mollusca,Metazoa,species,2883297,tol
Cassidula labrella,NA,NA,Cassidula labrella,Cassidula,Ellobiidae,NA,Gastropoda,Mollusca,Metazoa,species,2883307,tol
Melampus semiaratus,NA,NA,Melampus semiauratus,Melampus,Ellobiidae,NA,Gastropoda,Mollusca,Metazoa,species,2883346,tol
Burnupia caffra,NA,NA,Burnupia caffra,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,505639,tol
Burnupia capensis,NA,NA,Burnupia capensis,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879322,tol
Burnupia gordonensis,NA,NA,Burnupia gordonensis,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879336,tol
Burnupia mooiensis,NA,NA,Burnupia mooiensis,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879321,tol
Burnupia ponsonbyi,NA,NA,Burnupia ponsonbyi,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879329,tol
Burnupia stenochorias,NA,NA,Burnupia stenochorias,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,505647,tol
Burnupia transvaalensis,NA,NA,Burnupia transvaalensis,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879328,tol
Burnupia trapezoidea,NA,NA,Burnupia trapezoidea,Burnupia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879327,tol
Ferrissia,NA,NA,NA,Ferrissia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,genus,499609,tol
Lymnaea columella,NA,NA,Pseudosuccinea columella,Pseudosuccinea,Lymnaeidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,182109,tol
Lymnaea natalensis,NA,NA,Radix natalensis,Radix,Lymnaeidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,695812,tol
Lymnaea truncatula,NA,NA,Galba truncatula,Galba,Lymnaeidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,892752,tol
Pettancylus burnupi,NA,NA,Pettancylus burnupi,Ferrissia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879365,tol
Pettancylus zambiensis,NA,NA,Pettancylus zambiensis,Ferrissia,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879371,tol
Terebralia palustris,NA,NA,Terebralia palustris,Terebralia,Potamididae,NA,Gastropoda,Mollusca,Metazoa,species,560515,tol
