Sample,Type,Site,Time_diff_h,Time_diff_min,No_of_copepods,Taxon,Sex,Stage,Prosome_length_µm,Dry_weight_g,Dry_weight_µg,Dry_weight_ng,Data_file,Acq_Date_Time,CA_per_copepod_mol,CA_per_copepod_pmol,448.3_CA,450.3_dhCA,660.5_dhCA,674.6_dhCA,680.5_dhCA,686.5_dhCA,686.5_CA,688.6_dhCA,706.5_dhCA,706.6_CA,708.5_dhCA,708.6_CA,710.6_dhCA,712.5_CA,712.6_dhCA,714.6_dhCA,732.5_CA,734.5_dhCA,734.5_CA,736.6_dhCA,758.6_CA,760.5_dhCA
M3k,Marine,M3,2.667,160,1,Unknown,,,2140,0.00146,1455.21,1455214.36,M3k.d,17/03/2022 19:43,1.98E-11,19.819,0.209910106,0.009875749,0,0,0.000573244,0.001591179,0,0,0.003016461,0.069598185,0.012255432,0.02117687,0,0,0,0,0.040529328,0.006626823,0,0,0.018606017,0.002620586
M4a,Marine,M4,1.333,80,1,Temora longicornis,,,870,0.0000204,20.44,20439.64,M4a.d,17/03/2022 22:29,6.75E-12,6.751,0.001516151,0.001475523,0.0088814,0,0.003205357,0,0.000359412,0.025726377,0.013046605,0,0.036450258,0,0.00913499,0,0,0.004474516,0.001333059,0.020579306,0,0,0.000660828,0.008169853
M4b,Marine,M4,1.333,80,1,Unknown,,,610,0.0000434,43.41,43407.43,M4b.d,17/03/2022 22:57,9.86E-14,0.099,0.000187828,0.0000718,0.0000996,0,0.0000354,0,0.0000867,0.000237282,0.00026111,0,0.00036513,0,0.0000686,0,0,0.0000182,0.000156209,0.000181106,0,0,0.000118165,0.0000852
M4c,Marine,M4,1.333,80,1,Temora longicornis,,,1160,0.0000493,49.29,49293.06,M4c.d,17/03/2022 23:24,4.52E-12,4.516,0.000847769,0.004840945,0.00753398,0,0.009241045,0,0.000541915,0.009140542,0.010583291,0,0.025802385,0,0.004913059,0,0,0.001674199,0.001797836,0.009926717,0,0,0.000920542,0.002555
M4d,Marine,M4,1.583,95,1,Temora longicornis,,,700,0.0000105,10.51,10508.59,M4d.d,17/03/2022 23:53,9.94E-13,0.994,0.000182506,0.000373738,0.001238098,0,0.000565652,0,0.000129567,0.004270692,0.001736147,0,0.004854483,0,0.00076609,0,0,0.000551972,0.000196236,0.002802443,0,0,0.000122735,0.002096318
M4e,Marine,M4,1.583,95,1,Temora longicornis,female,,850,0.000019,19.04,19035.59,M4e.d,18/03/2022 00:20,5.07E-11,50.728,0.000519762,0.01018332,0.051133401,0,0.054832758,0,0.000438375,0.047424666,0.225095038,0,0.368999719,0,0.037516846,0,0,0.008425804,0.000668694,0.101511528,0,0,0.000462892,0.107347362
M4f,Marine,M4,1.833,110,1,Calanus sp,,copepodite,1680,0.000138,138.37,138373.52,M4f.d,18/03/2022 00:48,9.4E-12,9.396,0.039932872,0.003322805,0.002678437,0,0.002109498,0,0.011507474,0.004951078,0.005024545,0,0.027658783,0,0.007500742,0,0,0.001404594,0.047407718,0.014635919,0,0,0.015311801,0.004469773
M4g,Marine,M4,1.833,110,1,Temora longicornis,female,,940,0.0000259,25.9,25900.94,M4g.d,18/03/2022 01:16,1.11E-11,11.105,0.003235724,0.004775113,0.020327549,0,0.017220031,0,0.00059417,0.020511219,0.027986584,0,0.060129372,0,0.009175678,0,0,0.003592472,0.002342544,0.030453549,0,0,0.001405425,0.020345247
M4h,Marine,M4,2.083,125,1,Calanus sp,,,2240,0.000336,335.57,335574.79,M4h.d,18/03/2022 01:44,1.46E-11,14.556,0.073401244,0.003399077,0.001794518,0,0.000912375,0,0.02572751,0.004789882,0.006934326,0,0.022365344,0,0.00612577,0,0,0.00121009,0.096564123,0.014288248,0,0,0.02948072,0.00411807
M4i,Marine,M4,2.083,125,1,Unknown,,,930,0.000141,141.29,141286.2,M4i.d,18/03/2022 02:12,8.87E-12,8.871,0.000318054,0.001980228,0.011445982,0,0.015768679,0,0.000480679,0.013100361,0.050022003,0,0.051023651,0,0.006753263,0,0,0.001882039,0.000393575,0.018105955,0,0,0.000150253,0.005996531
M4j,Marine,M4,2.083,125,1,Temora longicornis,,,680,0.00000962,9.62,9616.6,M4j.d,18/03/2022 02:39,1.21E-11,12.101,0.001487762,0.005373204,0.012662387,0,0.007985136,0,0.001746325,0.02775052,0.035948756,0,0.10070354,0,0.011057493,0,0,0.004404025,0.005302587,0.013920852,0,0,0.002608948,0.011061107
M4w,Marine,M4,2.667,160,1,Centropages hamatus,,,850,0.000017,16.98,16978.07,M4w.d,07/04/2022 13:45,3.22E-11,32.156,0.008322246,0.006361054,0.037709946,0,0.003651576,0,0.002491558,0.074767251,0.00682379,0,0.297303571,0,0.048817109,0,0,0.021300964,0.009999162,0.089149019,0,0,0.005098708,0.031322889
M4y,Marine,M4,2.25,135,1,Temora longicornis,,,930,0.0000251,25.07,25066.99,M4y.d,07/04/2022 14:41,1.67E-11,16.742,0.001493203,0.003465488,0.015501147,0,0.013661815,0,0.001348883,0.036929684,0.06518031,0,0.11608328,0,0.016142926,0,0,0.007108154,0.004598214,0.033995244,0,0,0.002267691,0.01705653
M4z,Marine,M4,2.667,160,1,Calanus sp,,,2260,0.000345,344.89,344887.22,M4z.d,07/04/2022 15:09,6.35E-11,63.454,0.157148709,0.006924376,0.008550523,0,0.009233496,0,0.095210202,0.032537962,0.024539284,0,0.072535393,0,0.019110021,0,0,0.005600981,0.408436422,0.063975603,0,0,0.327466928,0.037816318
