size (cm),treatment,time (day)
1.88,no fluoxetine,5
1.83,no fluoxetine,5
1.91,no fluoxetine,5
1.9,no fluoxetine,5
1.76,no fluoxetine,5
1.76,no fluoxetine,5
1.59,no fluoxetine,5
1.92,no fluoxetine,5
1.88,no fluoxetine,5
1.72,no fluoxetine,5
1.93,no fluoxetine,5
1.64,no fluoxetine,5
1.81,no fluoxetine,5
1.75,no fluoxetine,5
1.97,no fluoxetine,5
1.93,no fluoxetine,5
2.68,fluoxetine,7
2.93,fluoxetine,7
2.8,fluoxetine,7
2.91,fluoxetine,7
2.84,fluoxetine,7
2.89,fluoxetine,7
2.98,fluoxetine,7
2.88,fluoxetine,7
2.96,fluoxetine,7
2.95,fluoxetine,7
2.91,fluoxetine,7
2.87,fluoxetine,7
3.36,fluoxetine,7
3.31,fluoxetine,7
3.19,fluoxetine,7
3.18,fluoxetine,7
3.22,fluoxetine,7
3.12,fluoxetine,7
3.08,fluoxetine,7
3.03,fluoxetine,7
3.32,fluoxetine,7
3.13,fluoxetine,7
3.17,fluoxetine,7
2.9,fluoxetine,7
2.94,fluoxetine,7
2.71,fluoxetine,7
3.05,fluoxetine,7
2.9,fluoxetine,7
2.94,fluoxetine,7
2.83,fluoxetine,7
2.82,fluoxetine,7
2.98,fluoxetine,7
2.84,fluoxetine,7
2.74,fluoxetine,7
2.64,fluoxetine,7
2.96,fluoxetine,7
2.68,fluoxetine,7
3.08,fluoxetine,7
3.09,fluoxetine,7
2.55,fluoxetine,7
2.87,no fluoxetine,7
2.67,no fluoxetine,7
2.58,no fluoxetine,7
2.78,no fluoxetine,7
2.72,no fluoxetine,7
2.52,no fluoxetine,7
2.76,no fluoxetine,7
2.81,no fluoxetine,7
2.82,no fluoxetine,7
2.73,no fluoxetine,7
2.7,no fluoxetine,7
2.79,no fluoxetine,7
2.58,no fluoxetine,7
3.02,no fluoxetine,7
2.86,no fluoxetine,7
2.84,no fluoxetine,7
2.71,no fluoxetine,7
2.94,no fluoxetine,7
2.63,no fluoxetine,7
2.67,no fluoxetine,7
2.58,no fluoxetine,7
2.67,no fluoxetine,7
2.97,no fluoxetine,7
2.61,no fluoxetine,7
2.62,no fluoxetine,7
2.85,no fluoxetine,7
2.58,no fluoxetine,7
3.15,no fluoxetine,7
3.13,no fluoxetine,7
2.74,no fluoxetine,7
2.76,no fluoxetine,7
2.8,no fluoxetine,7
2.98,no fluoxetine,7
2.78,no fluoxetine,7
3.02,no fluoxetine,7
2.82,no fluoxetine,7
2.93,no fluoxetine,7
2.88,no fluoxetine,7
