tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-2692,412113.5756643455,Synura petersenii,Synura,Synuraceae,Synurales,Chrysophyceae,Ochrophyta,Chromista
tax-2693,72289.98008402598,Synura spinosa,Synura,Synuraceae,Synurales,Chrysophyceae,Ochrophyta,Chromista
tax-2694,1678.3886383117322,Stichogloea,Stichogloea,Phaeothamniaceae,Phaeothamniales,Phaeophyceae,Ochrophyta,Chromista
tax-2695,97662.3106768857,Parvodinium pusillum,Parvodinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-2696,8872.595931177197,Goniomonas truncata,Goniomonas,Goniomonadaceae,Goniomonadales,Goniomonadea,Cryptophyta,Chromista
tax-2697,1474.4306215972783,Lemmermanniella flexa,Lemmermanniella,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-2698,7501.6693498350205,Coccomonas,Coccomonas,Phacotaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-2699,510532.3401341068,Vacuolaria,Vacuolaria,Vacuolariaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista
tax-27,2054.6042146335285,Aphanothece nidulans,Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-270,276.42999981145846,Nephrodiella,Nephrodiella,Pleurochloridaceae,Mischococcales,Xanthophyceae,Ochrophyta,Chromista
tax-2700,118346.36598782823,Euastrum elegans,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2701,473707.836378003,Planctococcus sphaerocystiformis,Planctococcus,Sphaerocystidaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-2702,718.2880665421103,Monochrysis aphanaster,Monochrysis,Chromulinaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2703,235.13648157444678,Chrysolykos,Chrysolykos,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2704,526961.0338137404,Staurastrum aversum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2705,160476.71374048342,Phacus suecicus,Phacus,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-2706,3984.547546530617,Anabaena miniata,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-2707,604.7668659283395,Stichococcus pelagicus,Stichococcus,Stichococcaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2708,4176488.2100262074,Borghiella tenuissima,Borghiella,Borghiellaceae,Suessiales,Dinophyceae,Myzozoa,Chromista
tax-2709,6907539.098279828,Pleurotaenium ehrenbergii,Pleurotaenium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-271,11452.900410065338,Desmodesmus aculeolatus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2710,11267.45919037576,Lindavia praetermissa,Lindavia,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-2711,57314.95561297883,Chrysostephanosphaera globulifera,Chrysostephanosphaera,Chrysamoebaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2712,64086.27477120476,Gonatozygon,Gonatozygon,Gonatozygaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae
