tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-1,156.58364728831663,Aphanocapsa delicatissima,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-10,316.79749971718763,Lemmermanniella parva,Lemmermanniella,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-100,22240.83085783672,Kephyrion,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-1000,1418059.2516872233,Lepocinclis oxyuris,Lepocinclis,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-1001,13670.121333705225,Cosmarium pseudopyramidatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1002,13257.143999999998,Brebissonia lanceolata,Brebissonia,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1003,28259.999999999996,Cosmarium brebissonii,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1004,42099.7559508546,Cosmarium reniforme,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1005,735606.2373633147,Gymnodinium uberrimum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Myzozoa,Chromista
tax-1006,719429.0330573173,Apocalathium aciculiferum,Apocalathium,Thoracosphaeraceae,Thoracosphaerales,Dinophyceae,Myzozoa,Chromista
tax-1007,114424.25266661149,Amphora ovalis,Amphora,Catenulaceae,Thalassiophysales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1008,373295.33095077105,Epithemia,Epithemia,Rhopalodiaceae,Rhopalodiales,Bacillariophyceae,Ochrophyta,Chromista
tax-1009,32640,Pinnularia major,Pinnularia,Pinnulariaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-101,23.549999999999997,Siderocelis oblonga,Siderocelis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1010,16731.005000557838,Kolkwitziella acuta,Kolkwitziella,Protoperidiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-1011,7795949.97208998,Peridinium cinctum,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-1012,2439395.4039697894,Peridinium willei,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-1013,17180.39446885113,Phacus orbicularis,Phacus,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-1014,34960.59514213791,Surirella librile,Surirella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1015,17795.465000557837,Cosmarium biretum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1016,39740.625,Staurastrum bulbosum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1017,21623.28200055784,Cosmarium undulatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1018,44880,Surirella regula,Surirella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1019,1519614.2840696804,Cosmarium margaritiferum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-102,78.12435287975666,Platessa conspicua,Platessa,Achnanthaceae,Mastogloiales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1020,24090.380000557838,Peridinium volzii,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-1021,50240,Lindavia bodanica,Lindavia,Stephanodiscaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista
tax-1022,298773.0473236507,Lindavia bodanica,Lindavia,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-1023,50240,Cyclotella lemanensis,Cyclotella,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-1024,26203.790625,Cyclotella planctonica,Cyclotella,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-1025,32847.766757315825,Closterium dianae,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1026,794194.0868517349,Gyrosigma,Gyrosigma,Pleurosigmataceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista
tax-1027,725182.3827579338,Phacus longicauda,Phacus,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-1028,33607.6,Pinnularia acrosphaeria,Pinnularia,Pinnulariaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1029,504169.43086608883,Cymatopleura elliptica,Cymatopleura,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-103,17.085,Limnothrix planctonica,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1030,43124.84516325,Gyrosigma attenuatum,Gyrosigma,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1031,543048.2294055183,Phacus,Phacus,Phacidae,Euglenida,Euglenoidea,Euglenozoa,Protozoa
tax-1032,991143.1533402532,Gyrosigma acuminatum,Gyrosigma,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1033,1783894.5869813855,Xanthidium antilopaeum,Xanthidium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1034,4271671.570990695,Cosmarium turpinii,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1035,207473.20808692134,Closterium lineatum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1036,99534.81869505055,Closterium moniliferum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1037,225792,Campylodiscus noricus,Campylodiscus,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1038,262322.22224621504,Pleurotaenium trabecula,Pleurotaenium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1039,151676.22066779793,Closterium striolatum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-104,422269.3328083992,Limnothrix,Limnothrix,Cyanobacteriaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1040,354704.0625,Surirella elegans,Surirella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1041,359479.5064965588,Closterium acerosum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1042,2398687.232436732,Closterium ehrenbergii,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1043,3117.1938687489433,Scenedesmus bijugus,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1044,316.7875859759526,Tetradesmus incrassatulus,Tetradesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1045,129053.07108702368,Cryptomonas erosa,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Chromista
tax-1046,5.211501469118799,Monomastix astigmata,Monomastix,Monomastigaceae,Monomastigales,Mamiellophyceae,Chlorophyta,Plantae
tax-1047,6192520.309755688,Stephanodiscus niagarae,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-1048,43525.21893582071,Chlamydomonas incerta,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1049,17119.298203270002,Pyramichlamys dissecta,Pyramichlamys,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-105,25.434,Limnothrix obliqueacuminata,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1050,106.14384994971502,Kamptonema chlorinum,Kamptonema,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1051,7.500729584825562,Anagnostidinema lemmermannii,Anagnostidinema,Coleofasciculaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1052,88.69813496388983,Limnolyngbya circumcreta,Limnolyngbya,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1053,6.6604971047174374e-6,Lyngbya lagerheimia,Lyngbya,Microcoleaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1054,152.24266502103436,Raphidiopsis raciborskii,Raphidiopsis,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1055,809.090166302691,Bicosoeca,Bicosoeca,Bicosoecaceae,Bicosoecales,Bicoecidea,Bigyra,Chromista
tax-1056,573066.9951275806,Navicula cryptocephala,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1057,44510.20610288054,Aulacoseira italica,Aulacoseira,Aulacoseiraceae,Aulacoseirales,Coscinodiscophyceae,Bacillariophyta,Chromista
tax-1058,17874.185274783154,Desmodesmus intermedius,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1059,1777.5451383654904,Nitzschia perminuta,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-106,22974.613463406236,Nephrochlamys subsolitaria,Nephrochlamys,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1060,348986.86104837176,Melosira,Melosira,Melosiraceae,Melosirales,Bacillariophyceae,Ochrophyta,Chromista
tax-1061,17492.05358808097,Pyramichlamys,Pyramichlamys,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-1062,5912.575999800442,Schizochlamys compacta,Schizochlamys,Schizochlamydaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1063,1595.5589026428179,Chloromonas platystigma,Chloromonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1064,2.7793339399549057,Aphanocapsa koordersi,Aphanocapsa,Microcystaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1065,144.8375808127846,Chrysochromulina,Chrysochromulina,Chrysochromulinaceae,Prymnesiales,Prymnesiophyceae,Haptophyta,Chromista
tax-1066,360260.9923597121,Oocystis pusilla,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1067,76670.93148867504,Carteria platyrhyncha,Carteria,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1068,1035.1444436558413,Gloeotrichia,Gloeotrichia,Aphanizomenonaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1069,1074.2384580123376,Desmodesmus abundans,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-107,30.298643639446166,Anagnostidinema amphibium,Anagnostidinema,Coleofasciculaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1070,107166.06769758546,Synura sphagnicola,Synura,Synuraceae,Synurales,Chrysophyceae,Ochrophyta,Chromista
tax-1071,39375.30265293776,Brachysira vitrea,Brachysira,Brachysiraceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1072,59640.32174935469,Paulschulzia tenera,Paulschulzia,Tetrasporaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1073,470.64032752083756,Desmarella,Desmarella,Codosigidae,Choanoflagellida,Choanoflagellatea,Choanozoa,Protozoa
tax-1074,132732.01120769433,Deasonia prolifera,Deasonia,Actinochloridaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1075,56541.9412413732,Lobomonas,Lobomonas,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-1076,224743.75320053278,Rhoicosphenia,Rhoicosphenia,Rhoicospheniaceae,Cymbellales,Bacillariophyceae,Ochrophyta,Chromista
tax-1077,20154.499812646816,Synedra nana,Synedra,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1078,31001.971041474775,Cryptomonas gracilis,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Chromista
tax-1079,210.54914361314047,Kephyrion gracile,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-108,28.259999999999994,Synechococcus ambiguus,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1080,2334.833637142749,Mallomonas akrokomas,Mallomonas,Mallomonadaceae,Synurales,Chrysophyceae,Ochrophyta,Chromista
tax-1081,1414.8435519705286,Chlamydomonas inepta,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1082,7.51667778132645,Desmodesmus magnus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1083,9789.23454295862,Phacotus,Phacotus,Phacotaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-1084,6.070131971536582e-4,Jaaginema angustissimum,Jaaginema,Synechococcales familia incertae sedis,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1085,41778.07228277318,Chloromonas augustae,Chloromonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1086,8728.9790970258,Excentrosphaera viridis,Excentrosphaera,Eremosphaeraceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1087,38730.89681395214,Planktolyngbya contorta,Planktolyngbya,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1088,45392.609558874676,Chlamydomonas callosa,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1089,1100.8354575087235,Gonium,Gonium,Goniaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-109,369725.92190198554,Woronichinia naegeliana,Woronichinia,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1090,79.61519344426782,Pseudanabaena biceps,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1091,434764.38313727657,Pediastrum,Pediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1092,579.9503272579539,Chlorocloster,Chlorocloster,Pleurochloridaceae,Mischococcales,Xanthophyceae,Ochrophyta,Chromista
tax-1093,1.1310574889117547e-5,Spirulina subtilissima,Spirulina,Spirulinaceae,Spirulinales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1094,2251.123615550066,Tetracystis pulchra,Tetracystis,Chlorococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1095,6122.914184118985,Chrysocapsa,Chrysocapsa,Chrysocapsaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-1096,1370.4423296873265,Polygoniochloris circularis,Polygoniochloris,Pleurochloridaceae,Mischococcales,Xanthophyceae,Ochrophyta,Chromista
tax-1097,105.27143097030032,Monomastix,Monomastix,Monomastigaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Plantae
tax-1098,163.50683635504174,Anabaena augstumalis,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1099,16189.560124091833,Cystomonas starrii,Cystomonas,Chlorococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-11,1660.4848483386188,Lemmermanniella,Lemmermanniella,Cymatolegaceae,Nodosilineales,Cyanophyceae,Cyanobacteria,Bacteria
tax-110,286.6566662679869,Scenedesmus pecsensis,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1100,1661.6214280497193,Quadrigula chodatii,Quadrigula,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1101,0.19272007582239323,Jaaginema subtilissimum,Jaaginema,Synechococcales familia incertae sedis,Synechococcales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1102,0.29603845095828146,Leibleinia subtilis,Leibleinia,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1103,57.23392250164529,Chlamydomonas pumilio,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1104,1515.6616775688817,Lobomonas verrucosa,Lobomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1105,28.82246226338904,Phormidium minnesotense,Phormidium,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1106,12.724491950549318,Cyanogranis ferruginea,Cyanogranis,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1107,368021.8494013391,Dolichospermum crassum,Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1108,33855.602898534264,Franceia droescheri,Franceia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1109,50960.23645026472,Chromulina,Chromulina,Chromulinaceae,Ochromonadales,Chrysophyceae,Ochrophyta,Chromista
tax-111,330.53499971718765,Tetrachlorella incerta,Tetrachlorella,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1110,343779.75193884596,Navicula viridula,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1111,658577.2678816505,Actinocyclus normanii,Actinocyclus,Hemidiscaceae,Coscinodiscales,Coscinodiscophyceae,Bacillariophyta,Chromista
tax-1112,5174.258218667847,Nephroselmis,Nephroselmis,Nephroselmidaceae,Nephroselmidales,Nephroselmidophyceae,Chlorophyta,Plantae
tax-1113,41119.85205410358,Chlorogonium,Chlorogonium,Haematococcaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-1114,237135.66994958086,Staurastrum natator,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1115,108967.6952124109,Diatoma tenue,Diatoma,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista
tax-1116,65.43189580106628,Chloromonas pumilio,Chloromonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-1117,234777.6174753472,Stephanodiscus medius,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-1118,2545385.537623554,Gloeotrichia echinulata,Gloeotrichia,Gloeotrichiaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1119,4.5670136996041055,Pseudanabaena franquetii,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-112,70.01283333333333,Pseudanabaena acicularis,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1120,20290.892166826976,Gloeothece,Gloeothece,Microcystaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1121,141267.85691181582,Nitzschia amphibia,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1122,95.64951883303159,Merismopedia warmingiana,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1123,66839.58308630514,Aphanizomenon yezoense,Aphanizomenon,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1124,1458.3372235720242,Palmodictyon viride,Palmodictyon,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1125,214.0009187480224,Pedinomonas,Pedinomonas,Pedinomonadaceae,Pedinomonadales,Pedinophyceae,Chlorophyta,Plantae
tax-1126,611.2255424830116,Monosiga,Monosiga,Codosigidae,Choanoflagellida,Choanoflagellatea,Choanozoa,Protozoa
tax-1127,86789.02620223151,Rhizosolenia,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista
tax-1128,9010.510795991126,Dolichospermum mendotae,Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1129,1015705.0679036749,Naiadinium polonicum,Naiadinium,Thoracosphaeraceae,Thoracosphaerales,Dinophyceae,Myzozoa,Chromista
tax-113,120082.14081356047,Woronichinia compacta,Woronichinia,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1130,255.92244755621186,Coelastrum proboscideum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1131,100836.4364576988,Stigeoclonium,Stigeoclonium,Chaetophoraceae,Chaetophorales,Chlorophyceae,Chlorophyta,Plantae
tax-1132,931.5572893845963,Anabaenopsis circularis,Anabaenopsis,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1133,122969.58383008624,Chrysosphaerella longispina,Chrysosphaerella,Chrysosphaerellaceae,Paraphysomonadales,Chrysophyceae,Ochrophyta,Chromista
tax-1134,0.0656024691718838,Cyanocatena planctonica,Cyanocatena,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1135,17.012146666199175,Monomastix minuta,Monomastix,Monomastigaceae,Monomastigales,Mamiellophyceae,Chlorophyta,Plantae
tax-1136,142545.05092568372,Ulnaria delicatissima,Ulnaria,Ulnariaceae,Licmophorales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1137,0.859492540981205,Myxobaktron salinum,Myxobaktron,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1138,79074.62821523738,Aphanizomenon gracile,Aphanizomenon,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1139,641315.704518894,Microcystis novacekii,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-114,29.306666666666665,Microcoleus amoenus,Microcoleus,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1140,27720.878364395994,Synedra filiformis,Synedra,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1141,0.7934734547265323,Romeria leopoliensis,Romeria,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1142,11.35190513765749,Kephyrion planctonicum,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-1143,185.42854308665207,Nitzschia subacicularis,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1144,254.0691192652289,Pedinomonas minutissima,Pedinomonas,Pedinomonadaceae,Pedinomonadales,Pedinophyceae,Chlorophyta,Plantae
tax-1145,4466.910558401534,Selenastrum,Selenastrum,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1146,502.1352227591663,Chrysosporum ovalisporum,Chrysosporum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1147,1333.3735958320144,Chlorolobion braunii,Chlorolobion,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1148,34991.53599739088,Snowella litoralis,Snowella,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1149,2700.4518310424955,Cyclostephanos delicatus,Cyclostephanos,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista
tax-115,11598.243424785063,Messastrum gracile,Messastrum,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1150,316.14904498858346,Limnothrix redekei,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1151,39562.20702871877,Trichormus variabilis,Trichormus,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1152,55446.585107044375,Tabularia arcus,Tabularia,Ulnariaceae,Licmophorales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1153,3451167.022193943,Entomoneis ornata,Entomoneis,Entomoneidaceae,Surirellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1154,2718.4513871785202,Monodus,Monodus,Pleurochloridaceae,Mischococcales,Xanthophyceae,Ochrophyta,Chromista
tax-1155,4.94918194047285e-5,Romeria okensis,Romeria,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-1156,1085.3980257780956,Dispora crucigenioides,Dispora,Coccomyxaceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae,Chlorophyta,Plantae
tax-1157,61769.45348517516,Staurodesmus incus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1158,35231.64464803097,Staurodesmus octocornis,Staurodesmus,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae
tax-1159,53830.30903929745,Staurodesmus subulatus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-116,9566.717633724997,Oocystis rhomboidea,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1160,11529.898491427453,Asterococcus,Asterococcus,Cerococcidae,Hemiptera,Insecta,Arthropoda,Animalia
tax-1161,956.4432365836728,Bitrichia ochridana,Bitrichia,Stylococcaceae,Hibberdiales,Chrysophyceae,Ochrophyta,Chromista
tax-1162,3852.3298989980426,Bitrichia phaseolus,Bitrichia,Stylococcaceae,Hibberdiales,Chrysophyceae,Ochrophyta,Chromista
tax-1163,87.81030520434948,Characium ambiguum,Characium,Characiaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-1164,389.89024361775427,Chlamydomonas dinobryonis,Chlamydomonas,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-1165,11601.389570409854,Chrysochromulina,Chrysochromulina,Chrysochromulinaceae,Prymnesiales,Prymnesiophyceae,Haptophyta,Chromista
tax-1166,224514.08868765243,Denticula kuetzingii,Denticula,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1167,89.24848255321473,Chlorella chlorelloides,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-1168,410.87144597317314,Dinobryon dilatatum,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-1169,20076.757240084167,Epithemia sorex,Epithemia,Rhopalodiaceae,Rhopalodiales,Bacillariophyceae,Bacillariophyta,Chromista
tax-117,30.772000000000006,Calothrix,Calothrix,Nostocaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-1170,1231902.4678705216,Gonyostomum semen,Gonyostomum,Vacuolariaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista
tax-1171,2990099.2666726173,Akashiwo sanguinea,Akashiwo,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Myzozoa,Chromista
