BottleID,Treatment,UV,Date,Run,GD,meanvelocity,medianY,SizeMM,Tswimming,Tresting,areaexplored,DOC,Time,TSWP,depth
1_624,2.5,60,624,1,170.1418466617794,4.88805305326659,3.0789268145161244,0.9231483195000001,905,655,112.7523402492348,2.5,0.016666666666666666,58.01282051282051,36.92107318548388
1_624,2.5,60,624,10,123.13398525627312,3.996858447769165,2.685647580645157,0.9231483195000001,801,759,39.72505301236153,2.5,0.3333333333333333,51.34615384615385,37.31435241935484
1_624,2.5,60,624,11,115.52243069732974,3.745116207145353,2.8737319556451584,0.9231483195000001,802,758,32.224783351566956,2.5,0.65,51.41025641025641,37.126268044354845
1_624,2.5,60,624,12,129.92556617513776,3.4969614084405607,2.7501610887096737,0.9231483195000001,966,594,44.86982369044787,2.5,0.9666666666666667,61.92307692307692,37.249838911290325
1_624,2.5,60,624,13,103.4061186281897,3.6233949923624422,2.6414745967741915,0.9231483195000001,742,818,32.59841772712978,2.5,1.2833333333333334,47.56410256410256,37.35852540322581
1_624,2.5,60,624,14,125.54388972553235,4.0050811446182095,3.0009693548387073,0.9231483195000001,815,745,34.48080540283544,2.5,1.6,52.243589743589745,36.99903064516129
1_624,2.5,60,624,15,87.62473102526897,3.125161874700951,2.6287290322580614,0.9231483195000001,729,831,21.67753710731348,2.5,1.9166666666666667,46.73076923076923,37.371270967741935
1_624,2.5,60,624,16,87.10266697826663,3.189675128781595,2.7069047379032254,0.9231483195000001,710,850,27.824483794075157,2.5,2.2333333333333334,45.51282051282051,37.29309526209678
1_624,2.5,60,624,17,90.78250344502848,4.371009425131001,2.8220949596774165,0.9231483195000001,540,1020,142.09682261372004,2.5,2.55,34.61538461538461,37.177905040322585
1_624,2.5,60,624,18,62.49384694463841,3.3092464777201607,2.6823302419354835,0.9231483195000001,491,1069,23.79688076925333,2.5,2.8666666666666667,31.474358974358974,37.31766975806452
1_624,2.5,60,624,19,119.51657115752134,3.6861575920469214,2.8922828629032233,0.9231483195000001,843,717,35.64395805504271,2.5,3.183333333333333,54.03846153846154,37.10771713709678
1_624,2.5,60,624,2,206.78366606789544,4.263580743667947,2.617991330645159,0.9231483195000001,1261,299,103.64664482118513,2.5,3.5,80.83333333333333,37.38200866935484
1_624,2.5,60,624,3,172.6109607518786,3.8032923555498677,2.7405146169354797,0.9231483195000001,1180,380,20.89443330928442,2.5,3.816666666666667,75.64102564102564,37.25948538306452
1_624,2.5,60,624,4,190.6093029277408,4.301946073021928,2.4705880040322556,0.9231483195000001,1152,408,40.38044224724316,2.5,4.133333333333334,73.84615384615384,37.52941199596774
1_624,2.5,60,624,5,130.01857862533035,3.3906550092864487,2.6289909274193506,0.9231483195000001,997,563,26.130592368643626,2.5,4.45,63.91025641025641,37.37100907258065
1_624,2.5,60,624,6,126.95275420308036,3.9155060608304737,2.6430459677419313,0.9231483195000001,843,717,25.802333020115512,2.5,4.766666666666667,54.03846153846154,37.356954032258066
1_624,2.5,60,624,7,180.90483338287675,4.335046698575849,2.7603749999999954,0.9231483195000001,1085,475,23.0744072947979,2.5,5.083333333333333,69.55128205128206,37.239625000000004
1_624,2.5,60,624,8,107.87458932914805,3.60043558736566,2.7745173387096758,0.9231483195000001,779,781,14.87527795216388,2.5,5.4,49.93589743589744,37.22548266129032
1_624,2.5,60,624,9,151.79990873631417,3.688595913218849,2.5599815524193525,0.9231483195000001,1070,490,39.293278947780166,2.5,5.716666666666667,68.58974358974359,37.44001844758065
1_630,2,0,630,1,141.43766414478802,3.6159088178608543,4.347197782258061,0.7997966400000001,1017,543,37.28297623041366,2,0.016666666666666666,65.1923076923077,35.652802217741936
1_630,2,0,630,10,133.5649763603494,3.1918100968465852,12.25250322580645,0.7997966400000001,1088,472,347.8160683039699,2,0.3333333333333333,69.74358974358974,27.74749677419355
1_630,2,0,630,11,160.86316767614983,3.2371844888389285,15.764953830645158,0.7997966400000001,1292,268,555.0588492421523,2,0.65,82.82051282051282,24.235046169354842
1_630,2,0,630,12,145.10668828841492,3.149226957845399,17.405727016129028,0.7997966400000001,1198,362,254.2792917946853,2,0.9666666666666667,76.7948717948718,22.594272983870972
1_630,2,0,630,13,131.5540377332614,3.654278825923928,17.595819254032257,0.7997966400000001,936,624,688.3692076628789,2,1.2833333333333334,60,22.404180745967743
1_630,2,0,630,14,164.0925342472657,3.6842883337037198,8.880035584677415,0.7997966400000001,1158,402,777.0344259167366,2,1.6,74.23076923076923,31.119964415322585
1_630,2,0,630,15,176.54484673297353,3.326207257287907,12.281093447580641,0.7997966400000001,1380,180,635.4726405874783,2,1.9166666666666667,88.46153846153847,27.71890655241936
1_630,2,0,630,16,145.79661501661033,3.620546313688509,23.893044758064512,0.7997966400000001,1047,513,721.1363787139825,2,2.2333333333333334,67.11538461538461,16.106955241935488
1_630,2,0,630,17,158.82658862254598,3.1765317724509194,4.102631350806451,0.7997966400000001,1300,260,237.43402129014356,2,2.55,83.33333333333333,35.89736864919355
1_630,2,0,630,18,167.69475713286042,3.547651493453516,18.392809879032253,0.7997966400000001,1229,331,977.45296058116935,2,2.8666666666666667,78.78205128205128,21.607190120967747
1_630,2,0,630,19,175.64907953173193,3.3828711613518743,10.266988709677417,0.7997966400000001,1350,210,806.8353339207009,2,3.183333333333333,86.53846153846153,29.733011290322583
1_630,2,0,630,2,111.45569857128602,2.1370561672960444,15.352861794354837,0.7997966400000001,1356,204,76.35172162661736,2,3.5,86.92307692307692,24.647138205645163
1_630,2,0,630,3,111.36222322164498,2.78138117556462,5.857372580645157,0.7997966400000001,1041,519,21.905875145003115,2,3.816666666666667,66.73076923076923,34.142627419354845
1_630,2,0,630,4,121.60586191300315,2.7881414547954866,4.167406754032257,0.7997966400000001,1134,426,29.792784056233167,2,4.133333333333334,72.6923076923077,35.83259324596774
