Genus;Species;Replicate.number;Group;Habitat;Trophic.group;Ref.tg;Body.length;Min.bl;Max.bl;Ref.bl;Dry.mass;Min.dm;Max.dm;Ref.dm;Cct.prop;Min.Cprop;Max.Cprop;Cct.total;Ref.C;Nct.prop;Min.Nprop;Max.Nprop;Nct.total;Ref.N;Pct.prop;Min.Pprop;Max.Pprop;Pct.total;Ref.P;N:Pct;Min.NP;Max.NP;Ref.NP;Protein.ct;Min.prot;Max.prot;Ref.prot;Lipid.ct;Min.lip;Max.lip;Ref.lip;Respiration.rt.ind;Respiration.rt.mg;Min.resp.mg;Max.resp.mg;Temp.resp.rt;Min.temp.resp.rt;Max.temp.resp.rt;Ref.resp;N-ammonia.ex.rt.ug.ind;N-ammonia.ex.rt.ug.dm;Min.Nex.rt.ug.dm;Max.Nex.rt.ug.dm;N-ammonia.ex.rt.nmol.dm;N-ammonia.ex.rt.nmol.ind;Min.Nex.rt.nmol.ind;Max.Nex.rt.nmol.ind;Temp.Nex.rt;Min.temp.Nex.rt;Max.temp.Nex.rt;Ref.N.ex;P-phosphate.ex.rt.ug.ind;P-phosphate.ex.rt.ug.dm;Min.Pex.rt.ug.dm;Max.Pex.rt.ug.dm;P-phosphate.ex.rt.nmol.dm;P-phosphate.ex.rt.nmol.ind;Min.Pex.rt.nmol.ind;Max.Pex.rt.nmol.ind;Temp.Pex.rt;Min.temp.Pex.rt;Max.temp.Pex.rt;Ref.P.ex;N:P.ex;Min.NP.ex;Max.NP.ex;Ref.NPex
Calanopia;elliptica;35;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0306;NA;NA;70;41,60130719;NA;NA;0,01273;70;9,620915033;NA;NA;0,00294;70;0,790849673;NA;NA;0,00024;70;26,88528926;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0284;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;36;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,023;NA;NA;70;41,6;NA;NA;0,009568;70;9,62173913;NA;NA;0,00221;70;0,791304348;NA;NA;0,00018;70;26,87214286;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0051;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;37;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,026;NA;NA;70;41,6;NA;NA;0,010816;70;9,619230769;NA;NA;0,00250;70;0,788461538;NA;NA;0,00021;70;26,962;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0205;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;38;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0662;NA;NA;70;41,59969789;NA;NA;0,027539;70;9,619335347;NA;NA;0,00637;70;0,790030211;NA;NA;0,00052;70;26,90875717;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0419;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;39;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0682;NA;NA;70;41,59970674;NA;NA;0,028371;70;9,620234604;NA;NA;0,00656;70;0,790322581;NA;NA;0,00054;70;26,90131725;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0085;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;40;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0764;NA;NA;70;41,59947644;NA;NA;0,031782;70;9,620418848;NA;NA;0,00735;70;0,790575916;NA;NA;0,00060;70;26,89321192;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0191;NA;NA;NA;22;NA;NA;70;0,0063;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;41;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,028;NA;NA;70;41,6;NA;NA;0,011648;70;9,621428571;NA;NA;0,00269;70;0,789285714;NA;NA;0,00022;70;26,94;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0038;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;42;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0242;NA;NA;70;41,59917355;NA;NA;0,010067;70;9,619834711;NA;NA;0,00233;70;0,789256198;NA;NA;0,00019;70;26,9365445;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,062;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;43;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0262;NA;NA;70;41,59923664;NA;NA;0,010899;70;9,618320611;NA;NA;0,00252;70;0,790076336;NA;NA;0,00021;70;26,90434783;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,042;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;44;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0301;NA;NA;70;41,6013289;NA;NA;0,012522;70;9,621262458;NA;NA;0,00290;70;0,790697674;NA;NA;0,00024;70;26,89142857;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,102;NA;NA;NA;28;NA;NA;70;0,0068;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;45;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0794;NA;NA;70;41,59949622;NA;NA;0,03303;70;9,619647355;NA;NA;0,00764;70;0,789672544;NA;NA;0,00063;70;26,92181818;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0311;NA;NA;NA;22;NA;NA;70;0,0061;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;46;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0609;NA;NA;70;41,59934319;NA;NA;0,025334;70;9,620689655;NA;NA;0,00586;70;0,789819376;NA;NA;0,00048;70;26,91972973;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0346;NA;NA;NA;28;NA;NA;70;0,0045;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;47;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0581;NA;NA;70;41,60068847;NA;NA;0,02417;70;9,619621343;NA;NA;0,00559;70;0,790017212;NA;NA;0,00046;70;26,91;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0449;NA;NA;NA;28;NA;NA;70;0,0084;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;48;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0622;NA;NA;70;41,59967846;NA;NA;0,025875;70;9,620578778;NA;NA;0,00598;70;0,789389068;NA;NA;0,00049;70;26,93409369;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0221;NA;NA;NA;28;NA;NA;70;0,003;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;49;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0363;NA;NA;70;41,60055096;NA;NA;0,015101;70;9,619834711;NA;NA;0,00349;70;0,790633609;NA;NA;0,00029;70;26,88961672;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0352;NA;NA;NA;28;NA;NA;70;0,0145;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;50;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0679;NA;NA;70;41,5994109;NA;NA;0,028246;70;9,620029455;NA;NA;0,00653;70;0,789396171;NA;NA;0,00054;70;26,93231343;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0305;NA;NA;NA;28;NA;NA;70;0,01;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;51;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0648;NA;NA;70;41,60030864;NA;NA;0,026957;70;9,62037037;NA;NA;0,00623;70;0,790123457;NA;NA;0,00051;70;26,90847656;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0222;NA;NA;NA;28;NA;NA;70;0,0084;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;52;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0835;NA;NA;70;41,6;NA;NA;0,034736;70;9,620359281;NA;NA;0,00803;70;0,790419162;NA;NA;0,00066;70;26,89837879;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0255;NA;NA;NA;22;NA;NA;70;0,0054;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;53;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0551;NA;NA;70;41,60072595;NA;NA;0,022922;70;9,637023593;NA;NA;0,00531;70;0,789473684;NA;NA;0,00044;70;26,97724138;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0469;NA;NA;NA;28;NA;NA;70;0,0469;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;54;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,05;NA;NA;70;41,6;NA;NA;0,0208;70;9,62;NA;NA;0,00481;70;0,79;NA;NA;0,00040;70;26,91164557;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,125;NA;NA;NA;28;NA;NA;70;0,0115;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;55;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,055;NA;NA;70;41,6;NA;NA;0,02288;70;9,62;NA;NA;0,00529;70;0,790909091;NA;NA;0,00044;70;26,88071264;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0187;NA;NA;NA;28;NA;NA;70;0,0138;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;56;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0688;NA;NA;70;41,6002907;NA;NA;0,028621;70;9,620639535;NA;NA;0,00662;70;0,790697674;NA;NA;0,00054;70;26,8896875;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,015;NA;NA;NA;22;NA;NA;70;0,0018;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;57;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0573;NA;NA;70;41,60034904;NA;NA;0,023837;70;9,619546248;NA;NA;0,00551;70;0,790575916;NA;NA;0,00045;70;26,89077263;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0066;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;58;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,05;NA;NA;70;41,6;NA;NA;0,0208;70;9,62;NA;NA;0,00481;70;0,79;NA;NA;0,00040;70;26,91164557;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0139;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;59;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0512;NA;NA;70;41,59960938;NA;NA;0,021299;70;9,619140625;NA;NA;0,00493;70;0,7890625;NA;NA;0,00040;70;26,94121287;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0139;NA;NA;NA;28;NA;NA;70;0,002;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;60;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0574;NA;NA;70;41,59930314;NA;NA;0,023878;70;9,620209059;NA;NA;0,00552;70;0,789198606;NA;NA;0,00045;70;26,9395585;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0102;NA;NA;NA;28;NA;NA;70;0,0013;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;61;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0612;NA;NA;70;41,5996732;NA;NA;0,025459;70;9,619281046;NA;NA;0,00589;70;0,789215686;NA;NA;0,00048;70;26,93637681;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0102;NA;NA;NA;28;NA;NA;70;0,0013;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;62;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0493;NA;NA;70;41,60040568;NA;NA;0,020509;70;9,620689655;NA;NA;0,00474;70;0,789046653;NA;NA;0,00039;70;26,94609254;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0157;NA;NA;NA;28;NA;NA;70;0,0013;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;63;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0536;NA;NA;70;41,60074627;NA;NA;0,022298;70;9,619402985;NA;NA;0,00516;70;0,789179104;NA;NA;0,00042;70;26,9379669;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0139;NA;NA;NA;28;NA;NA;70;0,0013;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;64;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0907;NA;NA;70;41,59977949;NA;NA;0,037731;70;9,619625138;NA;NA;0,00873;70;0,790518192;NA;NA;0,00072;70;26,89295676;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0319;NA;NA;NA;22;NA;NA;70;0,0101;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;65;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0565;NA;NA;70;41,6;NA;NA;0,023504;70;9,619469027;NA;NA;0,00544;70;0,789380531;NA;NA;0,00045;70;26,93127803;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0108;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;66;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0663;NA;NA;70;41,60030166;NA;NA;0,027581;70;9,619909502;NA;NA;0,00638;70;0,790346908;NA;NA;0,00052;70;26,89958015;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0338;NA;NA;NA;28;NA;NA;70;0,0026;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;67;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0604;NA;NA;70;41,59933775;NA;NA;0,025126;70;9,619205298;NA;NA;0,00581;70;0,789735099;NA;NA;0,00048;70;26,91844864;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0136;NA;NA;NA;22;NA;NA;70;0,0012;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;68;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0663;NA;NA;70;41,60030166;NA;NA;0,027581;70;9,619909502;NA;NA;0,00638;70;0,790346908;NA;NA;0,00052;70;26,89958015;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0066;NA;NA;NA;28;NA;NA;70;0,0026;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;69;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0822;NA;NA;70;41,59975669;NA;NA;0,034195;70;9,620437956;NA;NA;0,00791;70;0,789537713;NA;NA;0,00065;70;26,92862866;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0205;NA;NA;NA;22;NA;NA;70;0,0041;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;70;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0895;NA;NA;70;41,6;NA;NA;0,037232;70;9,620111732;NA;NA;0,00861;70;0,789944134;NA;NA;0,00071;70;26,91386139;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0275;NA;NA;NA;22;NA;NA;70;0,0042;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;71;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0698;NA;NA;70;41,60028653;NA;NA;0,029037;70;9,62034384;NA;NA;0,00672;70;0,789398281;NA;NA;0,00055;70;26,9331216;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0075;NA;NA;NA;22;NA;NA;70;0,0009;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanopia;elliptica;72;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0746;NA;NA;70;41,60053619;NA;NA;0,031034;70;9,620643432;NA;NA;0,00718;70;0,789544236;NA;NA;0,00059;70;26,92898132;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0061;NA;NA;NA;22;NA;NA;70;0,0023;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;australis;NA;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;NA;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;cristanus;1;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;2,6;8,9;84, 153;NA;NA;NA;NA;NA;NA;5,9;7,6;NA;84, 153;NA;NA;NA;NA;NA;NA;NA;NA;NA;50,2;NA;NA;153;NA;NA;NA;NA;NA;NA;0,6;2,1;7,5;NA;NA;173;NA;NA;NA;NA;NA;NA;4;10,3;NA;4,9;7,4;174;NA;NA;NA;NA;NA;NA;0,2;0,6;NA;4,9;7,4;174;NA;NA;NA;NA
Calanus;cristanus;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;1,99;NA;NA;173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,4;0,6;NA;4,9;7,4;174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;cristanus;3;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;1,38;3,18;174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;finmarchicus;1;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,274;NA;NA;72;55,47445255;NA;NA;0,152;72;7,664233577;NA;NA;0,02100;72;0,7;NA;NA;0,00192;72;24,19708029;NA;NA;72;NA;30,1;44,5;154, 155;31;NA;NA;97;0,234;NA;NA;NA;0,1;NA;NA;72;0,011;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,0057;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;4,267005552;NA;NA;72
Calanus;finmarchicus;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,152;NA;NA;172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,6;NA;NA;15;NA;NA;172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;finmarchicus;3;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,136;NA;NA;172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,7;NA;NA;5;NA;NA;179;NA;NA;NA;NA;NA;2,3;NA;NA;5;NA;NA;179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;finmarchicus;4;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;0,12;0,22;175, 176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;finmarchicus;5;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,26;NA;NA;179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calanus;finmarchicus;6;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,391;NA;NA;72;55,49872123;NA;NA;0,217;72;7,672634271;NA;NA;0,03000;72;0,7;NA;NA;0,00274;72;24,22360248;NA;NA;72;NA;30;77;60;50;NA;NA;107, 112;0,353;NA;NA;NA;0,1;NA;NA;72;0,011;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,006;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;4,053655274;NA;NA;72
Calanus;finmarchicus;7;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,435;NA;NA;72;55,63218391;NA;NA;0,242;72;7,586206897;NA;NA;0,03300;72;0,7;NA;NA;0,00305;72;23,95073892;NA;NA;72;NA;NA;NA;NA;31;NA;NA;13;0,425;NA;NA;NA;0,1;NA;NA;72;0,015;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,0061;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;5,437093513;NA;NA;72
Calanus;finmarchicus;8;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,423;NA;NA;72;55,55555556;NA;NA;0,235;72;7,56501182;NA;NA;0,03200;72;0,7;NA;NA;0,00296;72;23,88382303;NA;NA;72;NA;NA;NA;NA;40;NA;NA;135;0,354;NA;NA;NA;0,1;NA;NA;72;0,013;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,005;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;5,748820207;NA;NA;72
Calanus;finmarchicus;9;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,4;NA;NA;72;55,5;NA;NA;0,222;72;7,75;NA;NA;0,03100;72;0,7;NA;NA;0,00280;72;24,46785714;NA;NA;72;NA;NA;NA;NA;34;NA;NA;189;0,34;NA;NA;NA;0,1;NA;NA;72;0,016;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,005;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;7,075471025;NA;NA;72
Calanus;finmarchicus;10;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,349;NA;NA;72;55,58739255;NA;NA;0,194;72;7,736389685;NA;NA;0,02700;72;0,7;NA;NA;0,00244;72;24,42488743;NA;NA;72;NA;NA;NA;NA;23,2;NA;NA;190;0,264;NA;NA;NA;0,1;NA;NA;72;0,013;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;0,0039;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;72;7,370282317;NA;NA;72
