Genus;Species;Replicate.number;Group;Habitat;Trophic.group;Ref.tg;Body.length;Min.bl;Max.bl;Ref.bl;Dry.mass;Min.dm;Max.dm;Ref.dm;Cct.prop;Min.Cprop;Max.Cprop;Cct.total;Ref.C;Nct.prop;Min.Nprop;Max.Nprop;Nct.total;Ref.N;Pct.prop;Min.Pprop;Max.Pprop;Pct.total;Ref.P;N:Pct;Min.NP;Max.NP;Ref.NP;Protein.ct;Min.prot;Max.prot;Ref.prot;Lipid.ct;Min.lip;Max.lip;Ref.lip;Respiration.rt.ind;Respiration.rt.mg;Min.resp.mg;Max.resp.mg;Temp.resp.rt;Min.temp.resp.rt;Max.temp.resp.rt;Ref.resp;N-ammonia.ex.rt.ug.ind;N-ammonia.ex.rt.ug.dm;Min.Nex.rt.ug.dm;Max.Nex.rt.ug.dm;N-ammonia.ex.rt.nmol.dm;N-ammonia.ex.rt.nmol.ind;Min.Nex.rt.nmol.ind;Max.Nex.rt.nmol.ind;Temp.Nex.rt;Min.temp.Nex.rt;Max.temp.Nex.rt;Ref.N.ex;P-phosphate.ex.rt.ug.ind;P-phosphate.ex.rt.ug.dm;Min.Pex.rt.ug.dm;Max.Pex.rt.ug.dm;P-phosphate.ex.rt.nmol.dm;P-phosphate.ex.rt.nmol.ind;Min.Pex.rt.nmol.ind;Max.Pex.rt.nmol.ind;Temp.Pex.rt;Min.temp.Pex.rt;Max.temp.Pex.rt;Ref.P.ex;N:P.ex;Min.NP.ex;Max.NP.ex;Ref.NPex
Acartia;australis;5;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0145;NA;NA;70;41,6;NA;NA;0,006032;70;9,620689655;NA;NA;0,00140;70;0,793103448;NA;NA;0,00012;70;26,80826087;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0051;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;0,274153729;NA;NA;NA;24,5;NA;NA;183;NA;NA;NA;NA;0,191775225;24,5;NA;NA;NA;NA;NA;183;NA;6;27;69
Acartia;australis;6;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0147;NA;NA;70;41,59863946;NA;NA;0,006115;70;9,619047619;NA;NA;0,00141;70;0,789115646;NA;NA;0,00012;70;26,93913793;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0132;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;australis;7;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0231;NA;NA;70;41,6017316;NA;NA;0,00961;70;9,619047619;NA;NA;0,00222;70;0,787878788;NA;NA;0,00018;70;26,98142857;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0099;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;bifilosa;NA;Copepoda;Marine;OmniHerb;78;NA;0,67;1,25;77;NA;4,41;7,3;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;1;Copepoda;Marine;Herbivore;78;NA;0,6;1,47;80;0,0101;NA;NA;69;41,5049505;NA;NA;0,004192;69;12,0990099;NA;NA;0,00122;69;0,603960396;NA;NA;0,00006;69;44,27245902;NA;NA;69;82,6;NA;NA;198;3;NA;NA;102, 103, 104, 105;0,034;NA;NA;NA;15,4;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,3;23,5;NA;149, 150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;3;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0085;NA;NA;69;41,50588235;NA;NA;0,003528;69;12,10588235;NA;NA;0,00103;69;0,6;NA;NA;0,00005;69;44,59;NA;NA;69;NA;NA;NA;NA;5,8;NA;NA;198;0,031;NA;NA;NA;13,5;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;4;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0083;NA;NA;69;41,5060241;NA;NA;0,003445;69;12,09638554;NA;NA;0,00100;69;0,602409639;NA;NA;0,00005;69;44,3768;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,028;NA;NA;NA;13,5;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;5;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0063;NA;NA;69;41,50793651;NA;NA;0,002615;69;12,0952381;NA;NA;0,00076;69;0,603174603;NA;NA;0,00004;69;44,31631579;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,013;NA;NA;NA;14,2;NA;NA;69;0,0035;NA;NA;NA;NA;NA;NA;NA;14,2;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;6;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0064;NA;NA;69;41,5;NA;NA;0,002656;69;12,09375;NA;NA;0,00077;69;0,59375;NA;NA;0,00004;69;45,01421053;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,03;NA;NA;NA;14,2;NA;NA;69;0,0071;NA;NA;NA;NA;NA;NA;NA;14,2;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
