uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
262,Chlorella spp.,X1,Laguna Grande (Argentina),field mesocosms with free floating plants,Pinto et al. (2007),NA,species.1
262,Monoraphidium circinale,X1,Laguna Grande (Argentina),field mesocosms with free floating plants,Pinto et al. (2007),NA,species.2
262,Monoraphidium komarkovae,X1,Laguna Grande (Argentina),field mesocosms with free floating plants,Pinto et al. (2007),NA,species.3
263,Monoraphidium spp.,X1,Lake Fertó,"shallow, temperate, saline, mesotrophic",Padisák et al. (2006),NA,species.1
264,Chlorella spp.,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.1
264,Chlorolobium sp.,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.2
264,Coccomonas sp.,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.3
264,Monoraphidium contortum,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.4
264,Monoraphidium convolutum,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.5
264,Monoraphidium griffithi,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.6
264,Monoraphidium minutum,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.7
264,Schroederia antillarum,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.8
264,Schroederia setigera,X1,Paraná river (Argentina),NA,Devercelli (2006),Coccomonassp. to X2;  Schroederia spp. to X3,species.9
265,Schroederia,X1,Los Coipos Lake (Argentina),wetland,Fazio & O'Farrell (2005),NA,species.1
266,Monoraphidium pseudobraunii,X1,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.1
266,Monoraphidium tortile,X1,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.2
266,Monoraphidium arcuatum,X1,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.3
266,Monoraphidium dybowskii,X1,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.4
266,,X1,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.5
267,Monoraphidium pseudomirabile,X1,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.1
268,Chroococcus spp.,X1,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Chroococcus spp. to Lo,species.1
268,Chlorella sp.,X1,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Chroococcus spp. to Lo,species.2
268,Monoraphidium minutum,X1,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Chroococcus spp. to Lo,species.3
268,Monoraphidium contortum,X1,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Chroococcus spp. to Lo,species.4
268,Keryochlamys styriaca,X1,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Chroococcus spp. to Lo,species.5
269,Ankyra judayi,X1,Vouglans reservoir,"deep dam reservoir, early stratification period",Leitão et al. (2003),NA,species.1
270,Crucigenia quadrata,X1,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),Crucigenia quadrata to J,species.1
270,Didymocystis bicellularis,X1,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),Crucigenia quadrata to J,species.2
270,Monoraphidium circinale,X1,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),Crucigenia quadrata to J,species.3
270,Monoraphidium contortum,X1,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),Crucigenia quadrata to J,species.4
270,Monoraphidium minutum,X1,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),Crucigenia quadrata to J,species.5
271,Chlorella vulgaris,X1,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.1
271,Monoraphidium spp.,X1,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.2
271,Schroedriella setigera,X1,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.3
272,Synechocystis aquatilis,X1,Barra Lake (Brazil),productive lake,Huszar et al. (2000),Synechocystis aquatilisLo; Oocystis to F; Chlorellaminutissima to K,species.1
272,Chlorella vulgaris var. autotrophica,X1,Barra Lake (Brazil),productive lake,Huszar et al. (2000),Synechocystis aquatilisLo; Oocystis to F; Chlorellaminutissima to K,species.2
272,Oocystis submarina,X1,Barra Lake (Brazil),productive lake,Huszar et al. (2000),Synechocystis aquatilisLo; Oocystis to F; Chlorellaminutissima to K,species.3
272,Chlorella minutíssima,X1,Barra Lake (Brazil),productive lake,Huszar et al. (2000),Synechocystis aquatilisLo; Oocystis to F; Chlorellaminutissima to K,species.4
273,Synechocystis aquatilis,X1,Capivari and Segredo Reservoirs (Brazil),dam reservoir,Borges et al. (2008),to Lo,species.1
274,Chlorella sp.,X1,Dom Helvécio Lake (Brazil),"deep,  oligotrophic, atelomixis",Souza et al. (2008),to X3,species.1
275,Synechocystis aquatilis,X1,Paraibuna river (Brazil),eutrophic,Soares et al. (2007),Synechocystis aquatilis to Lo; Cosmarium regnesii to N;  Chlamydomonas sp. to X2,species.1
275,Cosmarium regnesii,X1,Paraibuna river (Brazil),eutrophic,Soares et al. (2007),Synechocystis aquatilis to Lo; Cosmarium regnesii to N;  Chlamydomonas sp. to X2,species.2
275,Chlamydomonas sp.,X1,Paraibuna river (Brazil),eutrophic,Soares et al. (2007),Synechocystis aquatilis to Lo; Cosmarium regnesii to N;  Chlamydomonas sp. to X2,species.3
276,Synechocystis aquatilis,X1,Chodikee lake (USA),"shallow, eutrophic",Huszar et al. (2003),to Lo,species.1
277,Synechococcus elongatus,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.1
277,Synechococcus elegans,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.2
277,Chlorella homosphaera,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.3
277,Chroococcus minor,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.4
277,Scenedesmus ellipticus,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.5
277,Choricystis cylindracea,X1,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),Synechococcus to K;  Chroococcus to Lo,species.6
278,Monoraphidium,Xi,"Reservoirs North Pine, Somerset, Wivenhoe (Australia)",drinking water reservoirs,Burford & O'Donohue (2006),"for typesetting error, i should be read as 1",species.1
279,Ochromonas spp.,X,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),"Ochromonas spp. to X3, Ankyra judayi to X1, small cryptophytes to X2",species.1
279,Ankyra judayi,X,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),"Ochromonas spp. to X3, Ankyra judayi to X1, small cryptophytes to X2",species.2
279,small cryptophytes,X,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),"Ochromonas spp. to X3, Ankyra judayi to X1, small cryptophytes to X2",species.3
280,Phacotus,YPh,Hungarian rivers,NA,Borics et al. (2007),"codon was renamed, see the text",species.1
281,Phacotus lenticularis,XPH,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.1
282,Phacotus lenticularis,NA,Lake Balaton (Hungary), shallow,Hajnal & Padisák (2008),NA,species.1
283,Dinobryon,E,Hungarian rivers,NA,Borics et al. (2007),we suggested to move Synura to the recently established Ws codon,species.1
283,Mallomonas,E,Hungarian rivers,NA,Borics et al. (2007),we suggested to move Synura to the recently established Ws codon,species.2
283,Synura,E,Hungarian rivers,NA,Borics et al. (2007),we suggested to move Synura to the recently established Ws codon,species.3
284,Dinobryon divergens,E,Lake Fuxian (China),deep oligotrophic,Zhang et al. (2007),NA,species.1
285,Mallomonas sp.,E,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.1
286,Dinobryon,E,Crater Lake (USA),"deep, ultra-oligotrophic",McIntire et al. (2007),NA,species.1
287,Dinobryon,E,"Lake Geneva, Lake Constance, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
288,Dinobryon sertularia,E,Comprida Lagoon (Brazil),"shallow, humic, acidic coastal lagoon",Alves de Souza et al. (2006),NA,species.1
289,Mallomonas,E,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),NA,species.1
290,Mallomonas sp.,E,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),NA,species.1
291,Dinobryon divergens,E,Wononscopomuc lake (USA),"deep, mesotrophic, dimictic",Huszar et al. (2003),NA,species.1
292,Dinobryon cylindricum,E,Mohonk lake (USA),"deep, oligotrophic, dimictic",Huszar et al. (2003),NA,species.1
293,Dinobryon divergens,E,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.1
293,Dinobryon sociale,E,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.2
293,Salpingoeca sp.,E,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.3
294,Dinobryon sociale,E,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),NA,species.1
294,Dinobryon divergens,E,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),NA,species.2
295,Dinobryon sociale,E,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),small sized chrysoflagellates to X2,species.1
295,small sized chrysoflagellates,E,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),small sized chrysoflagellates to X2,species.2
296,Dinobryon sp.,E,Paraná river (Argentina),NA,Devercelli (2006),"non identified flagellates are probably small, therefore to X2",species.1
296,Epipyxis sp.,E,Paraná river (Argentina),NA,Devercelli (2006),"non identified flagellates are probably small, therefore to X2",species.2
296,Mallomonas sp.,E,Paraná river (Argentina),NA,Devercelli (2006),"non identified flagellates are probably small, therefore to X2",species.3
296,Flagellates non-identified,E,Paraná river (Argentina),NA,Devercelli (2006),"non identified flagellates are probably small, therefore to X2",species.4
297,Mallomonas,E,"Lake Constance, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),Ochromonas to X2,species.1
