uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
343,Eremosphaera tanganyikae,F,Lake Tanganyika (Africa),"deep, meromictic",Stoyneva et al. (2007),NA,species.3
343,Sphaerocystis-like,F,Lake Tanganyika (Africa),"deep, meromictic",Stoyneva et al. (2007),NA,species.4
344,Oocystis spp.,F,Lake Fertő,"shallow, temperate, saline, mesotrophic",Padisák et al. (2006),NA,species.1
344,Planktosphaeria gelatinosa,F,Lake Fertő,"shallow, temperate, saline, mesotrophic",Padisák et al. (2006),NA,species.2
344,Coenochlorys sp.,F,Lake Fertő,"shallow, temperate, saline, mesotrophic",Padisák et al. (2006),NA,species.3
344,Lobocystis planctonica,F,Lake Fertő,"shallow, temperate, saline, mesotrophic",Padisák et al. (2006),NA,species.4
345,Coenochloris planconvexa,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.1
345,Dictyosphaerium ehrenbergianum,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.2
345,Eutetramorus fotti,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.3
345,Eutetramorus tetrasporus,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.4
345,Fusola viridis,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.5
345,Nephroclamys subsolitaria,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.6
345,Oocystis parva,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.7
345,Oocystis spp.,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.8
345,,F,Paraná river (Argentina),NA,Devercelli (2006),NA,species.9
346,Lobocystis,F,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.1
346,Coenococcus,F,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.2
346,Strombidium,F,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.3
346,Dictyosphaerium,F,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.4
346,Oocystis,F,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.5
347,Sphaerocystis,F,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
347,Dictyosphaerium,F,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),NA,species.2
348,Oocystis,F,"Lake Geneva, Lake Zürich","monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
349,Botryococcus,F,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),NA,species.1
349,Elakatothrix,F,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),NA,species.2
349,Sphaerocystis,F,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),NA,species.3
350,Elakatothrix genevensis,F,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.1
351,Oocystis lacustris,F,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.1
351,Kirchneriella pseudoaperta,F,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.2
351,Kirchneriella pinguis,F,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.3
