family,order
Cyanothecaceae,Gomontiellales
Microcystaceae,Chroococcales
Prochloraceae,Chroococcales
Chroococcaceae,Chroococcales
Gomontiellaceae,Gomontiellales
Cymatolegaceae,Nodosilineales
Leptolyngbyaceae,Leptolyngbyales
Synechococcaceae,Synechococcales
Microcoleaceae,Oscillatoriales
Oscillatoriaceae,Oscillatoriales
Coccomyxaceae,NA
Pseudanabaenaceae,Pseudanabaenales
Wilmottiaceae,Coleofasciculales
Pelonemataceae,Pelonematales
Aliterellaceae,Chroococcidiopsidales
Coelosphaeriaceae,Synechococcales
Bacillariaceae,Bacillariales
Aphanizomenonaceae,Nostocales
Achnanthidiaceae,Achnanthales
Rivulariaceae,Nostocales
Oocystaceae,Chlorellales
Gomphonemataceae,Cymbellales
Stephanodiscaceae,Thalassiosirales
Synechococcales familia incertae sedis,NA
Brachysiraceae,Naviculales
Gomphosphaeriaceae,Chroococcales
Sellaphoraceae,Naviculales
Naviculaceae,Naviculales
Diploneidaceae,Naviculales
Skeletonemaceae,Thalassiosirales
Radiococcaceae,Sphaeropleales
Botryococcaceae,Trebouxiales
Cymbellaceae,Cymbellales
Watanabeaceae,Watanabeales
Nephrocytiaceae,Sphaeropleales
Eunotiaceae,Eunotiales
Tovelliaceae,Tovelliales
Catenulaceae,Thalassiophysales
Achnanthaceae,Achnanthales
Thalassiosiraceae,Thalassiosirales
Neidiaceae,Naviculales
Stauroneidaceae,Naviculales
Gymnodiniaceae,Gymnodiniales
Aulacoseiraceae,Aulacoseirales
Elakatotrichaceae,Klebsormidiales
Fragilariaceae,Fragilariales
Amphidiniaceae,Amphidiniales
Euglenaceae,Euglenales
Cavinulaceae,Naviculales
Phacaceae,Euglenales
Melosiraceae,Melosirales
Chrysosphaeraceae,Chrysosphaerales
Palaeacmaeidae,NA
Mastogloiaceae,Mastogloiales
Pinnulariaceae,Naviculales
Cocconeidaceae,Achnanthales
Surirellaceae,Surirellales
Cyanothrichaceae,Chroococcales
Rhoicospheniaceae,Cymbellales
Chaetocerotaceae,NA
Pleurosigmataceae,Naviculales
Amphipleuraceae,Naviculales
Bacillariophyceae familia incertae sedis,NA
Acanthocerataceae,NA
Gyrodiniaceae,Gymnodiniales
Peridiniopsidaceae,Peridiniales
Rhopalodiaceae,Rhopalodiales
Thoracosphaeraceae,Thoracosphaerales
Spirulinaceae,Spirulinales
Hemidiscaceae,Coscinodiscales
Nephroselmidaceae,Nephroselmidales
Rhizosoleniaceae,Rhizosoleniales
Nodulariaceae,Nostocales
Entomoneidaceae,Surirellales
Vacuolariaceae,Chattonellales
Coscinodiscaceae,Coscinodiscales
Gloeobacteraceae,Gloeobacterales
Attheyaceae,NA
Heliopeltaceae,Coscinodiscales
Biddulphiaceae,Biddulphiales
Pyrocystaceae,Gonyaulacales
Lithodesmiaceae,Lithodesmiales
Hemiaulaceae,Hemiaulales
Eutreptiaceae,Eutreptiales
Hapalosiphonaceae,Nostocales
Leptocylindraceae,Leptocylindrales
Kathablepharidae,Katablepharidales
Mesodiniidae,Cyclotrichiida
Nostocaceae,Nostocales
