Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Elakatothrix gelatinosa,,,,9.961E-03,,,,3.213E-04,2.249E-03,3.294E-03,8.837E-04,7.230E-04,8.033E-04,1.000E-03,8.400E-04,3.000E-04,3.400E-04,3.423E-04,3.138E-04,1.426E-04,1.141E-03,4.755E-04,1.426E-03,2.282E-03,5.706E-04,3.709E-03,3.374E-04,5.297E-03,2.037E-04,1.141E-04,9.849E-04,6.771E-04,1.847E-03,4.104E-03,6.771E-03,2.561E+00,2.364E+00,1.800E+00,1.231E-04,3.693E-03,3.078E-03,8.229E-03,7.103E-02
Mougeotia sp.,,7.475E-04,,,,,,,,,,,,,,,8.000E-05,,,,,,,,,,,,,,1.126E-03,,2.827E-04,,,,,,,,,,
Teilingia granulata,,,,,,,,,,,,,,,8.500E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankyra judayi,,,,,,,,,,,,,6.985E-04,,4.720E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankyra lanceolata,,,,4.470E-04,,,,,,,,,,7.174E-01,2.040E-01,1.963E-01,1.007E-01,2.191E-02,1.662E-02,4.723E-02,3.967E-02,,,,,,,,,,,,,,,,,,,,,,
Botryococcus braunii,,,,,,,,,,,,,,1.000E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carteria multifilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068E-01,1.068E-01,3.052E-02,1.221E-02,7.629E-03,,5.086E-03,8.621E-04
Carteria sp.,,,,,,,,,,,,,,,,,,,,,,,,4.945E-03,,,,,,,,,,,1.907E-02,8.270E-02,2.527E-01,,,,,,
Chlamydocapsa sp.,,,,,,,,,,,,,,,,,,,,,,,,2.551E-02,,,,,,,,,,,,,,,,,,,
Chlamydomonas sp.,2.585E-03,,,6.579E-03,,,,,,,,,,,6.100E-04,7.300E-04,,,1.298E-04,3.246E-04,3.246E-04,1.082E-02,7.574E-03,5.255E-03,1.298E-03,5.193E-04,3.246E-04,9.621E-03,,3.984E-03,,,,2.257E-04,5.710E-03,1.557E-02,6.320E-03,4.063E-03,1.016E-03,3.386E-03,,,3.160E-03
Chlorella sp.,,,5.895E-02,1.394E-03,,,,,,,,,,,,,,,,,,,,,,1.060E-02,,8.365E-04,4.252E-03,2.440E-04,9.869E-04,,,,,,,,,5.640E-03,,9.244E-03,9.730E-04
Chlorococcales,,1.178E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelastrum astroideum,,,,,,,,1.113E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coenochloris sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.177E-02,,,,,,,,,,,,,,,
Desmodesmus abundans,,,,,,,,,,,,,,3.185E-03,1.140E-03,1.300E-04,,,,,,,,,,,,,,8.974E-05,,,,,,,,,,,,,
Desmodesmus aculeolatus,,,,,,,,,,,,,,,4.200E-04,4.200E-04,3.330E-03,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodesmus spinosus,,,,,,,,5.152E-03,2.672E-04,3.855E-03,,1.908E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geminella interrupta,,,,,,,,,,,,,,,,,,,7.721E-04,,,,3.676E-03,,,,,,,,,,,,,,,,,,,,
Geminella sp.,,,,,1.217E-03,8.116E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloeotila sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.730E-05,,,,,,,,,,,,,
Hariotina polychorda,,,,,,,,,,,,,,,,,,,,,,,,7.156E-03,4.220E-03,9.434E-03,1.179E-02,5.896E-03,1.867E-03,1.474E-03,,,,,,,,,,,,,
Hariotina reticulata,,,,,,,1.524E-02,6.454E-03,2.044E-02,1.398E-02,2.420E-02,4.088E-02,1.560E-02,2.331E-03,5.900E-04,,1.780E-03,2.738E-03,4.011E-03,,7.640E-03,8.701E-02,7.746E-02,,,1.455E-02,,,,,,,,,,,,,,,,,
Kirchneriella bibraiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.539E-03,,,,,,,,,,
Lemmermannia tetrapedia,,,,,,,,,,,,,1.257E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micractinium pusillum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.082E-03,,,,,,,,
Monoraphidium circinale,,,,,2.845E-04,,,,,,,4.268E-05,,,,,,7.215E-05,,,,,,,,,,,,,,,,,,,,,,,,,
Monoraphidium contortum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.930E-04,,,,,,,,,,,
Monoraphidium nanum,,,,,,,,,,,,,,1.000E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoraphidium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416E-03,2.124E-03,,,,,,,,
Nephrochlamys subsolitaria,,,,,,,,,,,9.710E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephrocytium agardhianum,,,,,9.054E-03,7.922E-03,,,,,,,,,,,,1.173E-02,1.482E-02,6.443E-04,8.376E-03,1.289E-02,8.591E-03,,,,,6.441E-03,4.601E-04,,,,,,,,,,,,,,
Nephrocytium limneticum,,,,,,,,,,,,,,,,,,6.998E-03,6.998E-03,6.560E-03,1.367E-02,,,,,,,,,,,,,,,,,,,,,,
Oedogonium sp.,,,,,,,,,,,,,1.000E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oocystis apicurvata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.011E-03,4.944E-02,,,
Oocystis lacustris,,,,,,,,5.275E-02,5.949E-02,1.172E-03,7.883E-02,1.137E-01,,,7.130E-03,,,,,,,,,,,,,4.607E-02,7.431E-04,1.858E-03,2.004E-04,,1.497E-02,5.986E-03,8.979E-03,2.694E-02,1.197E-02,,1.804E-03,,6.013E-03,,
Oocystis marssonii,,1.429E-02,,7.940E-04,,,5.558E-03,,,,2.541E-02,3.256E-02,1.429E-02,2.541E-02,1.289E-02,,,,,,,,,,,,,4.027E-02,1.007E-03,2.014E-03,,9.578E-03,,,,,,,,2.586E+00,2.975E+00,3.652E+00,9.777E-02
Oocystis parva,,,,,,,,,,,,,,,,,,,,,,,,,7.452E-03,,,,,,,2.850E-03,,,,,,1.197E-02,1.856E-02,,,3.149E-02,6.749E-03
Oocystis solitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.821E-02,,,,,,,,
Oocystis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.843E-03,6.274E-03,1.046E-02
Pandorina morum,,,,,1.000E-03,,2.031E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum boryanum,,,,,1.211E-03,6.054E-04,9.485E-03,4.036E-04,1.009E-03,4.036E-04,1.211E-03,1.211E-03,8.072E-04,1.000E-03,6.700E-04,7.900E-04,1.460E-03,3.713E-04,5.489E-04,6.054E-05,4.036E-05,4.709E-04,3.583E-02,,,8.600E-04,,,1.614E-04,3.895E-04,1.905E-03,6.429E-03,4.286E-03,1.072E-02,,,,,2.057E-02,,1.292E-03,2.906E-03,2.704E-03
Pediastrum duplex,,,,,,,,,,,,,,,,,,,,,,,,,1.550E-03,,,,,,,,,,,,,,,,,,
Pediastrum integrum,,,,,,,,,,,,,,1.000E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum sp.,,,,,,,,,,,,,8.375E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktosphaeria gelatinosa,,,,,,,,,,,,,,,,,,,,,,,,,,1.110E+00,2.024E+00,1.527E+00,3.292E-01,3.785E-02,3.711E-01,3.955E-03,3.460E-02,8.349E-02,8.239E-03,3.296E-02,1.099E-01,4.394E-03,5.273E-03,,1.318E-02,,
Scenedesmus aculeolatus,,,,,,8.162E-04,,,,,,,,,,,,,,,,,,,,,,,,,,2.167E-04,1.083E-03,7.223E-04,,,,,,2.167E-03,,1.083E-03,
Scenedesmus ecornis,,,,,,5.750E-04,1.021E-01,7.289E-02,7.454E-02,8.202E-02,1.078E-03,9.345E-04,,1.000E-03,7.000E-05,,,,,5.106E-04,5.469E-03,,,1.042E-02,9.114E-03,5.104E-03,1.549E-02,1.240E-02,3.646E-04,9.114E-05,2.300E-05,,,,,7.634E-04,5.089E-04,7.634E-04,,,,,
Scenedesmus linearis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.898E-04,2.449E-03,,,,,2.290E-03,5.802E-03,5.725E-03,4.925E-03,,4.071E-03
Scenedesmus obtusus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.578E-04,,,,,,,,,,,,,,
Scenedesmus quadricauda,,,,,1.223E-03,,1.236E-02,,,,,,,,,,,,2.482E-03,,,,,,,,,,,,,,,,,,,,,,,2.490E-02,1.819E-02
Scenedesmus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.603E-04,,,,1.142E-03,1.713E-03,,3.426E-03,,,,6.853E-03,,
Schroederia ecsediensis,,,,,,,,,,,,,6.975E-03,1.492E-02,8.650E-03,,,,,,4.913E-03,,8.189E-03,3.440E-04,,,,,2.457E-04,1.474E-03,2.058E-04,,,,,,,,,,,,
Schroederia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.852E-03,,,,,,,,,,,,
Sphaerocystis schroeteri,,,,,4.323E-01,4.633E-01,2.524E+00,,,,2.325E-02,1.713E-02,5.914E-02,5.834E-01,9.122E-01,2.108E-01,1.077E-01,3.517E-02,2.793E-02,4.137E-02,4.913E-02,8.619E-03,8.619E-03,,,,,,,,8.663E-04,1.202E+00,2.179E+00,4.454E-01,1.063E+00,6.172E-02,9.818E-02,6.641E-02,5.717E-02,1.386E-01,1.191E-02,4.620E-02,1.877E-02
Tetrabaena socialis,1.699E-01,,2.283E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetradesmus dimorphus,2.984E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetradesmus lagerheimii,,5.994E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraedron minimum,,,,1.684E-02,,3.207E-03,6.384E+00,1.826E+00,1.392E+00,1.667E+00,2.726E-02,3.768E-02,8.659E-02,1.082E-01,1.757E-01,1.913E-01,2.732E-01,1.659E+00,1.244E+00,6.710E+00,5.876E+00,1.017E+01,5.083E+00,1.111E+00,3.456E-01,1.323E+00,3.395E+00,9.190E-01,1.208E-01,1.169E-01,4.172E-02,6.585E-02,3.236E-01,6.812E-02,8.518E-03,4.257E-03,8.515E-03,2.838E-02,4.257E-04,,1.277E-02,1.135E-02,1.924E-02
Tetraedron regulare,,,,,,,,,,,,,,,,,,,,,,,4.872E-02,6.960E-03,,,,,,,,,,,,,,,,,,,
Tetraselmis cordiformis,,,,,,,,,,,,,,,,,,,4.216E-04,2.108E-03,1.686E-02,,,,1.405E-03,,,,,,,,,,1.891E-02,1.891E-02,,,,,,,
Ulothrix sp.,,,,,,,,,,,,,,3.139E-03,,,,,,,,,,,,,,,,3.233E-03,2.434E-05,,,,,,,,,,,,
Volvocales,,1.453E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
