"","Reference for sizes"
"66","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages. Biovolume de ESUB"
"67","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume NDIF"
"68","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume FVUL"
"69","Iconographia Diatomologica 11"
"70","Reichardt 1997, Nova Hedwigia 65."
"71","Reichardt 2001"
"72","Iconographia Diatomologica 6"
"73","2006 Atlas Jap. Diat vol.1"
"74","-"
"75","Biovolume GDEC"
"76","Kociolek, J.P. and Stoermer, E.F. 1988 [ref. 006059]. Taxonomy, ultrastructure and distribution of Gomphoneis herculeana, G. eriense and closely related species (Naviculales: Gomphonemataceae). Proceedings of the Academy of Natural Sciences of Philadelphia 140(2):24-97."
"77","Lange-Bertalot-Festschrift - 65th Birthday"
"78","taille moyenne"
"79","Biovolume HHUN"
"80","Iconographia diatomologica 14"
"81","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages.
K. Krammer and H. Lange-Bertalot. Bacillariophyceae 2. Teil: Bacillariaceae, Epithemiaceae, Surirellaceae.  1988. 596 pages.
K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages.
K. Krammer and H. Lange-Bertalot. Bacillariophyceae 4. Teil: Achnanthaceae. Kritische Ergänzungen zu Navicula (Lineolatae) und Gomphonema. Gesamtliteraturverzeichnis Teil 14.  1991. 437 pages.
K. Krammer. Cymbella, Ruggell, Germany:Gantner Verlag, 2002. 584 pages.
K. Krammer. Cymbopleura, Delicata, Navicymbula, Gomphocymbellopsis, Afrocymbella, Ruggell, Germany:Gantner Verlag, 2003. 530 pages.
K. Krammer. Morphologic investigations of the valve and girdle of the diatom genus Cymbella, 1981. 146 pages."
"82","Coste 2000"
"83","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume LGOE
"
"84","Biovolume LGOE"
"85","Iconographia diatomologica 12"
"86","Biovolume MVAR"
"87","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume NVDS"
"88","Bibliotheca Diatomologica 15"
"89","Simonsen 1987"
"90","Simonsen"
"91","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 2. Teil: Bacillariaceae, Epithemiaceae, Surirellaceae.  1988. 596 pages. Biovolume NPAL, car pas retrouvé Chlonoky 1963"
"92","Diatom of Europe 2. Biovolume NCAR"
"93","Bibliotheca Diatomologica 29"
"94","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume NEAM"
"95","Biovolume NGRE"
"96","Iconographia Diatomlogica 7"
"97","Biovolume NMEN"
"98","Hohn, M.H. and Hellerman, J. 1963. The taxonomy and structure of diatom populations from three Eastern North American rivers using three sampling methods. Transactions of the American Microscopical Society 82(3):250-329.  Biovolume NLAN"
"99","Biovolume NVDS"
"100","Bilbiotheca Diatomlogica 29"
"101","Bilbiotheca Diatomlogica 29. Biovol de NUWE"
"102","Iconographia Ditomologica 9"
"103","Diatom research, 23, 2008,Tudesque, Rimet Ector."
"104",NA
"105","K. Krammer. The genus Pinnularia, Ruggell, Germany:Gantner Verlag, 2000. 703 pages."
"106","Diatom Research 17, 1, 2002. Hakansson"
"107","Diatom n 18, 2002."
"108","Biovolume PBOR"
"109","Simonsen 1987, figure 315"
"110","Bibiotheca Diatomologica Band 18"
"111","Diatom research 21, 2006, Morales"
"112","Iconographia diatomologica 6."
"113","Diatom Research 2, 1987"
"114","Sims, P.A. 2001. The genus Praetriceratium gen. nov.: a survey of eupodiscoid genera with a sipho marginalis. Diatom Research 16(2):399-416."
"115","Iconographia diatomologica 6, ""final stage of A. rossi"", j'ai pris la taille mini de A. rossi"
"116","Phycological Research, 2005."
"117","Diatom Research 21. E. Morales 2006."
"118","ID13"
"119","Iconographia Diatomologica 14. Biovolume STAN"
"120","Iconographia Diatomologica 12"
"121","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages. Biovolume SHAN"
"122","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 2. Teil: Bacillariaceae, Epithemiaceae, Surirellaceae.  1988. 596 pages. Biovolume SUMI"
"123","Diatom Research, 17, 1. Hakasson"
"124","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages. Biovolume de TPSN"
"125","Simonsen 1987, Plates 647-648,"
"126","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages. Pas trouvé, mis le même biovolume que THLA"
"127","Lange-Bertalot-Festschrift"
