resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Chamaepinnularia evanida,tax-1867,NA,NA,Chamaepinnularia evanida,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea fossalis,tax-1876,NA,NA,Mayamaea fossalis,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Placogeia kriegeri,tax-1879,NA,NA,Placogeia kriegeri,Placogeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea disjuncta,tax-2185,NA,NA,Mayamaea disjuncta,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Kobayasiella subtilissima,tax-2233,NA,NA,Kobayasiella subtilissima,Kobayasiella,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Kobayasiella venezuelensis,tax-2234,NA,NA,Kobayasiella venezuelensis,Kobayasiella,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Kobayasiella pseudosubtilissima,tax-2235,NA,NA,Kobayasiella pseudosubtilissima,Kobayasiella,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Navigeia paludosa,tax-2251,NA,NA,Navigeia paludosa,Navigeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea muraliformis,tax-2252,NA,NA,Mayamaea muraliformis,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea permitis,tax-2253,NA,NA,Mayamaea permitis,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chamaepinnularia begeri,tax-2254,NA,NA,Chamaepinnularia begeri,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chamaepinnularia krookii,tax-2255,NA,NA,Chamaepinnularia krookii,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chamaepinnularia soehrensis,tax-2256,NA,NA,Chamaepinnularia soehrensis,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Heteroleibleinia kuetzingii,tax-2442,NA,NA,Heteroleibleinia kuetzingii,Heteroleibleinia,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Paramastix conifera,tax-2613,NA,NA,Paramastix conifera,Paramastix,,,,Chlorophyta,NA,species,AlgaeBase,check
Polyedriopsis spinulosa,tax-2639,NA,NA,Polyedriopsis spinulosa,Polyedriopsis,,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Bicosoeca socialis,tax-2822,NA,NA,Diplomitella socialis,Diplomitella,Amphimonadaceae,,,,NA,species,AlgaeBase,check
Diplochloris lunata,tax-2841,NA,NA,Diplochloris lunata,Diplochloris,,,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Mayamaea lacunolaciniata,tax-2855,NA,NA,Mayamaea lacunolaciniata,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Picochlorum atomus,tax-2859,NA,NA,Picochlorum atomus,Picochlorum,,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Vorticella campanula,tax-3882,NA,NA,Vorticella campanula,Vorticella,,,,,NA,species,AlgaeBase,check
Chamaepinnularia submuscicola,tax-3978,NA,NA,Chamaepinnularia submuscicola,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonella baltica,tax-4079,NA,NA,Gomphonella baltica,Gomphonella,,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonella olivaceolacua,tax-4082,NA,NA,Gomphonella olivaceolacua,Gomphonella,,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonella stauroneiformis,tax-4091,NA,NA,Gomphonella stauroneiformis,Gomphonella,,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea alcimonica,tax-4109,NA,NA,Mayamaea alcimonica,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea excelsa,tax-4110,NA,NA,Mayamaea excelsa,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea asellus,tax-4111,NA,NA,Mayamaea asellus,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea fossalis obsidialis,tax-4115,NA,Mayamaea fossalis obsidialis,NA,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,variety,AlgaeBase,check
Mayamaea fossaloides,tax-4116,NA,NA,Mayamaea fossaloides,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea recondita,tax-4120,NA,NA,Mayamaea recondita,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Phaeodactylum tricornutum,tax-4303,NA,NA,Phaeodactylum tricornutum,Phaeodactylum,Phaeodactylaceae,,,Bacillariophyta,NA,species,AlgaeBase,check
Ettlia oleoabundans,tax-4406,NA,NA,Ettlia oleoabundans,Ettlia,,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Diplochloris decussata,tax-4574,NA,NA,Diplochloris decussata,Diplochloris,,,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Diplomitella socialis,tax-4735,NA,NA,Diplomitella socialis,Diplomitella,Amphimonadaceae,,,,NA,species,AlgaeBase,check
Chloroidium saccharophilum,tax-4837,NA,NA,Chloroidium saccharophilum,Chloroidium,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Choricystis coccoides,tax-4861,NA,NA,Choricystis coccoides,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Choricystis guttula,tax-4862,NA,NA,Choricystis guttula,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Choricystis hindakii,tax-4863,NA,NA,Choricystis hindakii,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Choricystis komarekii,tax-4864,NA,NA,Choricystis komarekii,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Chroostipes linearis,tax-4902,NA,NA,Chroostipes linearis,Chroostipes,,,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Braarudosphaera bigelowii,tax-4941,NA,NA,Braarudosphaera bigelowii,Braarudosphaera,Braarudosphaeraceae,,Coccolithophyceae,Haptophyta,NA,species,AlgaeBase,check
Desmatractum delicatissimum,tax-5155,NA,NA,Desmatractum delicatissimum,Desmatractum,,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Peridiniella danica,tax-5304,NA,NA,Peridiniella danica,Peridiniella,,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
