resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Surirella brebissonii,tax-704,NA,NA,Surirella brebissonii,Surirella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Closteriopsis longissima,tax-705,NA,NA,Closteriopsis longissima,Closteriopsis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Tetraselmis arnoldii,tax-706,NA,NA,Tetraselmis arnoldii,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,NA,species,AlgaeBase,check
Chlorotetraedron bitridens,tax-707,NA,NA,Chlorotetraedron bitridens,Chlorotetraëdron,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Eunotia naegelii,tax-708,NA,NA,Eunotia naegelii,Eunotia,Eunotiaceae,Eunotiales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Tryblionella apiculata,tax-709,NA,NA,Tryblionella apiculata,Tryblionella,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Lyngbya truncicola,tax-710,NA,NA,Lyngbya truncicola,Lyngbya,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pandorina morum major,tax-711,NA,NA,NA,Pandorina,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,form,AlgaeBase,check
Vitreochlamys aulata,tax-712,NA,NA,Vitreochlamys aulata,Vitreochlamys,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Odontidium mesodon,tax-713,NA,NA,Odontidium mesodon,Odontidium,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Limnococcus limneticus,tax-717,NA,NA,Limnococcus limneticus,Limnococcus,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Golenkinia viridis,tax-718,NA,NA,Golenkinia viridis,Golenkinia,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Actinotaenium cruciferum,tax-719,NA,NA,Actinotaenium cruciferum,Actinotaenium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Cosmarium novae-semliae sibiricum,tax-720,NA,Cosmarium novae-semliae sibiricum,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Tetraedron trigonum,tax-722,NA,NA,Tetraedron trigonum,Tetraëdron,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Nitzschia dissipata,tax-723,NA,NA,Nitzschia dissipata,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Closterium acutum variabile,tax-724,NA,Closterium acutum variabile,NA,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Diploneis ovalis,tax-726,NA,NA,Diploneis ovalis,Diploneis,Diploneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chlorotetraedron incus,tax-727,NA,NA,Chlorotetraedron incus,Chlorotetraëdron,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Borghiella pascheri,tax-729,NA,NA,Borghiella pascheri,Borghiella,Borghiellaceae,Suessiales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Coccomonas platyformis,tax-730,NA,NA,Coccomonas platyformis,Coccomonas,Phacotaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Actinotaenium spinospermum,tax-731,NA,NA,Actinotaenium spinospermum,Actinotaenium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Epipyxis planctonica,tax-732,NA,NA,Epipyxis planctonica,Epipyxis,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Surirella minuta,tax-733,NA,NA,Surirella minuta,Surirella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Micractinium crassisetum,tax-734,NA,NA,Micractinium crassisetum,Micractinium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Iconella linearis,tax-735,NA,NA,Iconella linearis,Iconella,Surirellaceae,Surirellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cymbopleura similiformis,tax-737,NA,NA,Cymbopleura similiformis,Cymbopleura,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Diatoma tenuis,tax-738,NA,NA,Diatoma tenuis,Diatoma,Tabellariaceae,Rhabdonematales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Neglectella solitaria,tax-739,NA,NA,Neglectella solitaria,Neglectella,Eremosphaeraceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Staurodesmus dejectus,tax-740,NA,NA,Staurodesmus dejectus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Trachelomonas abrupta,tax-741,NA,NA,Trachelomonas abrupta,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Phacotus lenticularis,tax-742,NA,NA,Phacotus lenticularis,Phacotus,Phacotaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Euglena korsikovii,tax-743,NA,NA,NA,Euglena,Euglenaceae,Euglenida,Euglenoidea,Euglenozoa,Protozoa,genus,gbif,check
Cosmarium sexangulare minus,tax-744,NA,Cosmarium sexangulare minus,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Sellaphora rostrata,tax-746,NA,NA,Sellaphora rostrata,Sellaphora,Sellaphoraceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Stephanodiscus alpinus,tax-747,NA,NA,Stephanodiscus alpinus,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Stephanodiscus irregularis,tax-748,NA,NA,Stephanodiscus irregularis,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Papenfussiomonas cordata,tax-749,NA,NA,Papenfussiomonas cordata,Papenfussiomonas,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Tetraselmis cordiformis,tax-750,NA,NA,Tetraselmis cordiformis,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,NA,species,AlgaeBase,check
Kirchneriella obesa,tax-753,NA,NA,Kirchneriella obesa,Kirchneriella,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Trachelomonas volvocina,tax-754,NA,NA,Trachelomonas volvocina,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Ollicola pascheri,tax-755,NA,NA,Ollicola pascheri,Ollicola,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Coelastrum cambricum,tax-758,NA,NA,Coelastrum cambricum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Coelastrum microporum,tax-759,NA,NA,Coelastrum microporum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Coelastrum sphaericum,tax-760,NA,NA,Coelastrum sphaericum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gymnodinium eurytopum,tax-761,NA,NA,Gymnodinium eurytopum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Cymbella neoleptoceros,tax-762,NA,NA,Cymbella neoleptoceros,Cymbella,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonema grunowii,tax-764,NA,NA,Gomphonema grunowii,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Rhoicosphenia abbreviata,tax-765,NA,NA,Rhoicosphenia abbreviata,Rhoicosphenia,Rhoicospheniaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Tabellaria flocculosa,tax-766,NA,NA,Tabellaria flocculosa,Tabellaria,Tabellariaceae,Rhabdonematales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Tetraedron minimum,tax-767,NA,NA,Tetraedron minimum,Tetraëdron,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Tetraedron minimum scrobiculatum,tax-768,NA,Tetraedron minimum scrobiculatum,NA,Tetraëdron,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,variety,AlgaeBase,check
Cosmarium phaseolus minus,tax-769,NA,NA,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,form,AlgaeBase,check
Meridion circulare,tax-771,NA,NA,Meridion circulare,Meridion,Tabellariaceae,Rhabdonematales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonema truncatum,tax-772,NA,NA,Gomphonema truncatum,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium meneghinii,tax-773,NA,NA,Cosmarium meneghinii,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Thorakochloris tetras,tax-774,NA,NA,Thorakochloris tetras,Thorakochloris,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Eunotia praerupta,tax-776,NA,NA,Eunotia praerupta,Eunotia,Eunotiaceae,Eunotiales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Staurodesmus spencerianus,tax-777,NA,NA,Staurodesmus spencerianus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Hantzschia amphioxys,tax-778,NA,NA,Hantzschia amphioxys,Hantzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cymbella compacta,tax-779,NA,NA,Cymbella compacta,Cymbella,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Tryblionella levidensis,tax-780,NA,NA,Tryblionella levidensis,Tryblionella,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gomphonema constrictum,tax-781,NA,NA,Gomphonema constrictum,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Urosolenia eriensis,tax-782,NA,NA,Urosolenia eriensis,Urosolenia,Rhizosoleniaceae,Rhizosoleniales,Coscinodiscophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Oocystis borgei,tax-783,NA,NA,Oocystis borgei,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gymnodinium oligoplacatum,tax-784,NA,NA,Gymnodinium oligoplacatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Mallomonas globosa,tax-785,NA,NA,Mallomonas globosa,Mallomonas,Mallomonadaceae,Synurales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Gyrosigma scalproides,tax-786,NA,NA,Gyrosigma scalproides,Gyrosigma,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cocconeis placentula euglypta,tax-787,NA,Cocconeis placentula euglypta,NA,Cocconeis,Cocconeidaceae,Cocconeidales,Bacillariophyceae,Bacillariophyta,NA,variety,AlgaeBase,check
Mougeotia gracillima,tax-788,NA,NA,Mougeotia gracillima,Mougeotia,Zygnemataceae,Zygnematales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Cosmarium subbalteum,tax-789,NA,NA,Cosmarium subbalteum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Navicula reinhardtii,tax-790,NA,NA,Navicula reinhardtii,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Staurastrum alternans,tax-791,NA,NA,Staurastrum alternans,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Gomphonema augur,tax-792,NA,NA,Gomphonema augur,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Nitzschia linearis,tax-793,NA,NA,Nitzschia linearis,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Closterium venus westii,tax-794,NA,Closterium venus westii,NA,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Navicula rhynchocephala,tax-795,NA,NA,Navicula rhynchocephala,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mallomonas minima,tax-796,NA,NA,Mallomonas minima,Mallomonas,Mallomonadaceae,Synurales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Korshikoviella michailovskoensis,tax-797,NA,NA,Korshikoviella michailovskoensis,Korshikoviella,Characiaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Trachelomonas volvocina subglobosa,tax-798,NA,Trachelomonas volvocina subglobosa,NA,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,NA,variety,AlgaeBase,check
Katodinium simile,tax-799,NA,NA,Katodinium simile,Katodinium,Tovelliaceae,Gonyaulacales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Diploneis maulerii,tax-800,NA,NA,Diploneis maulerii,Diploneis,Diploneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Pseudostaurastrum hastatum palatinum,tax-801,NA,Pseudostaurastrum hastatum palatinum,NA,Pseudostaurastrum,Goniochloridaceae,Goniochloridales,Eustigmatophyceae,Ochrophyta,NA,variety,AlgaeBase,check
Chlamydomonas conica,tax-802,NA,NA,Chlamydomonas conica,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Nitzschia lanceolata,tax-803,NA,NA,Nitzschia lanceolata,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium venustum minus,tax-804,NA,Cosmarium venustum minus,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Tabellaria fenestrata,tax-805,NA,NA,Tabellaria fenestrata,Tabellaria,Tabellariaceae,Rhabdonematales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chlamydomonas zebra,tax-806,NA,NA,Chlamydomonas zebra,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Golenkinia radiata,tax-807,NA,NA,Golenkinia radiata,Golenkinia,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pandorina morum,tax-808,NA,NA,Pandorina morum,Pandorina,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Trochiscia granulata,tax-809,NA,NA,Trochiscia granulata,Trochiscia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Trochiscia planctonica,tax-810,NA,NA,Trochiscia planctonica,Trochiscia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gonatozygon monotaenium,tax-811,NA,NA,Gonatozygon monotaenium,Gonatozygon,Gonatozygaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Mallomonas caudata,tax-812,NA,NA,Mallomonas caudata,Mallomonas,Mallomonadaceae,Synurales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Staurodesmus cuspidatus,tax-813,NA,NA,Staurodesmus cuspidatus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Euglena gaumei,tax-814,NA,NA,Euglena gaumei,Euglena,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Cryptomonas brevis,tax-815,NA,NA,Cryptomonas brevis,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,NA,species,AlgaeBase,check
Chlamydomonas reinhardtii,tax-816,NA,NA,Chlamydomonas reinhardtii,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Closterium cornu,tax-819,NA,NA,Closterium cornu,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Lindavia radiosa,tax-820,NA,NA,Lindavia radiosa,Lindavia,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Sellaphora bacillum,tax-821,NA,NA,Sellaphora bacillum,Sellaphora,Sellaphoraceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Dinobryon pediforme,tax-822,NA,NA,Dinobryon pediforme,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Oocystis polymorpha,tax-823,NA,NA,Oocystis polymorpha,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Craticula halophila,tax-824,NA,NA,Craticula halophila,Craticula,Stauroneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium,tax-825,NA,NA,NA,Cosmarium,NA,Desmidiales,Conjugatophyceae,Charophyta,Plantae,genus,gbif,check
Cymbopleura cuspidata,tax-826,NA,NA,Cymbopleura cuspidata,Cymbopleura,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium botrytis,tax-827,NA,NA,Cosmarium botrytis,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Nitzschia sigma,tax-828,NA,NA,Nitzschia sigma,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium subcostatum minus,tax-829,NA,Cosmarium subcostatum minus,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Nitzschia flexa,tax-830,NA,NA,Nitzschia flexa,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium laeve,tax-831,NA,NA,Cosmarium laeve,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Chroococcus turgidus,tax-832,NA,NA,Chroococcus turgidus,Chroococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Ulnaria lanceolata,tax-833,NA,NA,Ulnaria lanceolata,Ulnaria,Ulnariaceae,Licmophorales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cyclostephanos dubius,tax-834,NA,NA,Cyclostephanos dubius,Cyclostephanos,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Ulnaria delicatissima angustissima,tax-835,NA,Ulnaria delicatissima angustissima,NA,Ulnaria,Ulnariaceae,Licmophorales,Bacillariophyceae,Bacillariophyta,NA,variety,AlgaeBase,check
Epithemia gibba,tax-836,NA,NA,Epithemia gibba,Epithemia,Rhopalodiaceae,Rhopalodiales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gymnodinium mitratum,tax-837,NA,NA,Gymnodinium mitratum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Gomphonema carolinense,tax-838,NA,NA,Gomphonema carolinense,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Staurastrum punctulatum,tax-839,NA,NA,Staurastrum punctulatum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Closterium limneticum,tax-840,NA,NA,Closterium limneticum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Amphora libyca,tax-841,NA,NA,Amphora libyca,Amphora,Catenulaceae,Thalassiophysales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Amphora copulata,tax-842,NA,NA,Amphora copulata,Amphora,Catenulaceae,Thalassiophysales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Eucocconeis flexella,tax-843,NA,NA,Eucocconeis flexella,Eucocconeis,Achnanthidiaceae,Cocconeidales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Stauroneis anceps,tax-844,NA,NA,Stauroneis anceps,Stauroneis,Stauroneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Amphipleura pellucida,tax-845,NA,NA,Amphipleura pellucida,Amphipleura,Amphipleuraceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Gyrosigma sciotoense,tax-846,NA,NA,Gyrosigma sciotoense,Gyrosigma,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Staurastrum,tax-847,NA,NA,NA,Staurastrum,NA,Desmidiales,Conjugatophyceae,Charophyta,Plantae,genus,gbif,check
Codosiga botrytis,tax-848,NA,NA,Codosiga botrytis,Codosiga,Codonosigidae,Craspedida,Choanoflagellatea,Choanozoa,NA,species,AlgaeBase,check
Cryptomonas curvata,tax-849,NA,NA,Cryptomonas curvata,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,NA,species,AlgaeBase,check
Lagerheimia ciliata,tax-850,NA,NA,Lagerheimia ciliata,Lagerheimia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Palmococcus hercynicus,tax-851,NA,NA,Palmococcus hercynicus,Palmococcus,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Nitzschia vermicularis,tax-852,NA,NA,Nitzschia vermicularis,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Paraplaconeis placentula,tax-853,NA,NA,Paraplaconeis placentula,Paraplaconeis,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Parvodinium umbonatum,tax-854,NA,NA,Parvodinium umbonatum,Parvodinium,Peridiniaceae,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Belonastrum berolinense,tax-855,NA,NA,Belonastrum berolinense,Belonastrum,,,,Bacillariophyta,NA,species,AlgaeBase,check
Cymbella helvetica curta,tax-856,NA,Cymbella helvetica curta,NA,Cymbella,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,variety,AlgaeBase,check
Microspora abbreviata,tax-857,NA,NA,Microspora abbreviata,Microspora,Microsporaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Navicula radiosa,tax-859,NA,NA,Navicula radiosa,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Lepocinclis acus,tax-860,NA,NA,Lepocinclis acus,Lepocinclis,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Neidium iridis,tax-862,NA,NA,Neidium iridis,Neidium,Neidiaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Neidium affine,tax-864,NA,NA,Neidium affine,Neidium,Neidiaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium subprotumidum gregorii,tax-865,NA,Cosmarium subprotumidum gregorii,Cosmarium subprotumidum,Cosmarium,NA,Desmidiales,Conjugatophyceae,Charophyta,Plantae,variety,gbif,check
Staurastrum pseudotetracerum,tax-866,NA,NA,Staurastrum pseudotetracerum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Cosmarium subgranatum,tax-867,NA,NA,Cosmarium subgranatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,species,AlgaeBase,check
Pinnularia biceps,tax-868,NA,NA,Pinnularia biceps,Pinnularia,Pinnulariaceae,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Epithemia adnata,tax-869,NA,NA,Epithemia adnata,Epithemia,Rhopalodiaceae,Rhopalodiales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Parvodinium goslaviense,tax-870,NA,NA,Parvodinium goslaviense,Parvodinium,Peridiniaceae,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Trachelomonas crebea,tax-871,NA,NA,Trachelomonas crebea,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Ulothrix tenuissima,tax-872,NA,NA,Ulothrix tenuissima,Ulothrix,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta,NA,species,AlgaeBase,check
Aulacoseira islandica,tax-873,NA,NA,Aulacoseira islandica,Aulacoseira,Aulacoseiraceae,Aulacoseirales,Coscinodiscophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Cosmarium undulatum minutum,tax-874,NA,Cosmarium undulatum minutum,NA,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,NA,variety,AlgaeBase,check
Pantocsekiella rossii,tax-875,NA,NA,Pantocsekiella rossii,Pantocsekiella,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Phacus monilatus,tax-876,NA,NA,Phacus monilatus,Phacus,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,NA,species,AlgaeBase,check
Diatoma vulgaris,tax-877,NA,NA,Diatoma vulgaris,Diatoma,Tabellariaceae,Rhabdonematales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mallomonas ploesslii,tax-878,NA,NA,Mallomonas ploesslii,Mallomonas,Mallomonadaceae,Synurales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
